F32017-50-0,F32017-50-1,F32017-50-2,F32017-50-3,F32017-50-4,F32017-50-5,F32017-50-6,F32017-50-7,F32017-50-8,F32017-50-9,F32017-50-10,F32017-50-11,F32017-50-12,F32017-50-13,F32017-50-14,F32017-50-15,F32017-50-16,F32017-50-17,F32017-50-18,F32017-50-19,F32017-50-20,F32017-50-21,F32017-50-22,F32017-50-23,F32017-50-24,F32017-50-25,F32017-50-26,F32017-50-27,F32017-50-28,F32017-50-29,F32017-50-30,F32017-50-31,F32017-50-32,F32017-50-33,F32017-50-34,F32017-50-35,F32017-50-36,F32017-50-37,F32017-50-38,F32017-50-39,F32017-50-40,F32017-50-41,F32017-50-42,F32017-50-43,F32017-50-44,F32017-50-45,F32017-50-46,F32017-50-47,F32017-50-48,F32017-50-49,F32017-50-50
106311.31596167653,104320.54492300209,136275.88634365622,140600.22775662105,113662.46406650041,109091.61367105186,147202.8519225416,186648.97989914654,153103.31462593,147572.80782862505,121601.95254208284,169580.67262397025,89659.934801265,124866.77828010047,96625.58521492606,121687.39148556958,183639.5155630548,153850.6685055134,105271.63151203509,161068.69677513206,137592.52201345933,124695.68338649186,134434.5532215776,110507.45518208868,152839.58033812908,155237.10589844105,141880.52414089203,157091.5660616751,159038.75988829072,154252.6241931578,107446.75574989535,103449.81335815218,140307.84738659606,95636.78058008713,140786.4089080894,70419.57094964762,148847.37355039755,68375.18794290737,118414.1653893297,154679.52386007924,136121.67703016257,140815.4133011464,95894.87086191033,158570.18483036396,136312.7779538855,115638.17003014738,170765.90295684716,164825.81964449596,158042.9313076154,105270.64965064063,107044.15459230551
106311.31596167653,104320.54492300209,136275.88634365622,140600.22775662105,113662.46406650041,109091.61367105186,147202.8519225416,186648.97989914654,153103.31462593,147572.80782862505,121601.95254208284,169580.67262397025,89659.934801265,110186.68995025878,96625.58521492606,121687.39148556958,183639.5155630548,153850.6685055134,105271.63151203509,161068.69677513206,117958.37053846025,124695.68338649186,134434.5532215776,110507.45518208868,152839.58033812908,155237.10589844105,141880.52414089203,157091.5660616751,159038.75988829072,151841.9972373679,107446.75574989535,103449.81335815218,140307.84738659606,95636.78058008713,140786.4089080894,70419.57094964762,124355.94071910651,68375.18794290737,118414.1653893297,144569.31881169064,136121.67703016257,140815.4133011464,95894.87086191033,158570.18483036396,136312.7779538855,115638.17003014738,170765.90295684716,164825.81964449596,158042.9313076154,105270.64965064063,107044.15459230551
106311.31596167653,104320.54492300209,136275.88634365622,140600.22775662105,113662.46406650041,106966.96483109216,147202.8519225416,166004.00252747492,153103.31462593,147572.80782862505,121601.95254208284,160417.364648379,89659.934801265,110186.68995025878,96625.58521492606,121687.39148556958,183639.5155630548,153850.6685055134,105271.63151203509,161068.69677513206,117958.37053846025,124695.68338649186,134434.5532215776,110507.45518208868,152839.58033812908,155237.10589844105,131336.0694900129,157091.5660616751,120655.07505062675,151841.9972373679,107446.75574989535,103449.81335815218,140307.84738659606,95636.78058008713,140786.4089080894,70419.57094964762,124355.94071910651,68375.18794290737,118414.1653893297,143262.73106849627,136121.67703016257,140815.4133011464,95894.87086191033,144924.2823471906,135905.0963827622,115638.17003014738,170765.90295684716,164825.81964449596,158042.9313076154,105270.64965064063,93503.52410840685
106311.31596167653,90973.24699409369,128099.94505426873,140600.22775662105,113662.46406650041,106966.96483109216,147202.8519225416,166004.00252747492,153103.31462593,147572.80782862505,121601.95254208284,129949.26570312178,89659.934801265,108753.92966541875,96625.58521492606,121687.39148556958,168243.86922685316,140682.22856573167,105271.63151203509,161068.69677513206,117958.37053846025,124695.68338649186,134434.5532215776,110507.45518208868,152839.58033812908,155237.10589844105,131336.0694900129,142015.1104193948,120655.07505062675,151841.9972373679,107446.75574989535,103449.81335815218,140307.84738659606,95636.78058008713,127909.51542691645,70419.57094964762,124355.94071910651,68375.18794290737,118414.1653893297,125675.50283091664,122743.23040000732,140815.4133011464,95894.87086191033,144924.2823471906,135905.0963827622,115638.17003014738,170765.90295684716,164825.81964449596,158042.9313076154,105270.64965064063,93503.52410840685
106311.31596167653,90973.24699409369,128099.94505426873,140600.22775662105,113662.46406650041,106966.96483109216,136701.99853376677,166004.00252747492,153103.31462593,139124.67473843574,121601.95254208284,129949.26570312178,89659.934801265,108753.92966541875,96625.58521492606,119134.52524856385,168243.86922685316,140682.22856573167,105271.63151203509,152261.91036054486,111522.0644950337,124695.68338649186,134434.5532215776,110507.45518208868,152839.58033812908,123609.14627771497,131336.0694900129,142015.1104193948,120655.07505062675,150646.9711133344,107446.75574989535,103449.81335815218,140307.84738659606,95636.78058008713,127909.51542691645,70419.57094964762,124355.94071910651,67915.48943570495,118414.1653893297,125675.50283091664,122743.23040000732,140815.4133011464,95894.87086191033,144924.2823471906,135905.0963827622,115638.17003014738,170765.90295684716,164825.81964449596,154101.57874045338,105270.64965064063,93503.52410840685
106311.31596167653,87687.98781627206,122357.71270817977,140600.22775662105,113662.46406650041,106966.96483109216,136701.99853376677,166004.00252747492,153103.31462593,139124.67473843574,121601.95254208284,127613.54039411861,89659.934801265,106836.66444136697,96625.58521492606,119134.52524856385,168243.86922685316,140682.22856573167,105271.63151203509,152261.91036054486,111522.0644950337,124695.68338649186,132415.84390336554,110507.45518208868,152839.58033812908,123609.14627771497,131336.0694900129,142015.1104193948,120655.07505062675,138769.377475928,107446.75574989535,103449.81335815218,140307.84738659606,95565.23752650719,127909.51542691645,70419.57094964762,122972.21873892013,67915.48943570495,118414.1653893297,125675.50283091664,122743.23040000732,140815.4133011464,95894.87086191033,144924.2823471906,133970.536807101,115638.17003014738,170765.90295684716,164825.81964449596,154101.57874045338,105270.64965064063,93503.52410840685
106311.31596167653,87687.98781627206,122357.71270817977,140600.22775662105,113662.46406650041,106966.96483109216,136701.99853376677,166004.00252747492,153103.31462593,139124.67473843574,104086.20812477752,127613.54039411861,89659.934801265,103495.79111531322,96625.58521492606,119134.52524856385,168243.86922685316,140682.22856573167,105271.63151203509,152261.91036054486,111522.0644950337,124695.68338649186,132415.84390336554,110507.45518208868,152839.58033812908,107855.43310306476,128801.53195515332,142015.1104193948,120655.07505062675,125234.89836367876,107446.75574989535,103449.81335815218,140307.84738659606,95565.23752650719,127909.51542691645,70419.57094964762,122972.21873892013,67915.48943570495,118414.1653893297,125675.50283091664,122743.23040000732,140815.4133011464,95894.87086191033,144924.2823471906,133970.536807101,115638.17003014738,170765.90295684716,158128.6012883264,141159.92234442694,105270.64965064063,93503.52410840685
106311.31596167653,87687.98781627206,122357.71270817977,140600.22775662105,113662.46406650041,106966.96483109216,130382.82847359372,166004.00252747492,153103.31462593,139124.67473843574,104086.20812477752,127613.54039411861,89659.934801265,103334.19811095025,96625.58521492606,119134.52524856385,168243.86922685316,126676.29057780634,83192.54703931567,152261.91036054486,109524.00050561175,118284.73998591228,127281.39394917413,110507.45518208868,152839.58033812908,107855.43310306476,127826.99084310322,142015.1104193948,120567.51882106115,125234.89836367876,107446.75574989535,103449.81335815218,127037.0828854902,95565.23752650719,127909.51542691645,70419.57094964762,122972.21873892013,64320.87964372718,118414.1653893297,125675.50283091664,122743.23040000732,140815.4133011464,95894.87086191033,143038.2724873827,128648.94587219934,115638.17003014738,170765.90295684716,158128.6012883264,141159.92234442694,105270.64965064063,93503.52410840685
106311.31596167653,84006.95204058924,122357.71270817977,140600.22775662105,113662.46406650041,106966.96483109216,130382.82847359372,157365.32335737985,143692.10254016923,126206.58723957388,104086.20812477752,127613.54039411861,89659.934801265,95717.17364973194,96625.58521492606,119134.52524856385,162150.14092077487,126676.29057780634,83192.54703931567,152261.91036054486,109524.00050561175,55637.59563985437,126568.23948560291,110507.45518208868,152839.58033812908,107855.43310306476,116093.12174841714,142015.1104193948,119343.64673386434,124353.84582333069,107446.75574989535,103449.81335815218,103005.46126518029,86273.37683687729,126494.56186774561,70419.57094964762,122972.21873892013,64320.87964372718,115614.44964351162,125675.50283091664,122743.23040000732,140815.4133011464,95894.87086191033,141662.50828146917,128648.94587219934,115638.17003014738,170765.90295684716,156750.1974059218,112730.68949765657,105270.64965064063,93503.52410840685
106311.31596167653,84006.95204058924,122357.71270817977,140600.22775662105,100201.78445674258,106966.96483109216,130265.42012563336,157365.32335737985,143692.10254016923,112167.29583806128,104086.20812477752,127165.94475834824,89659.934801265,95717.17364973194,96625.58521492606,119134.52524856385,160473.3706388195,126676.29057780634,83192.54703931567,152261.91036054486,109524.00050561175,55637.59563985437,126225.36888074181,110507.45518208868,152613.88709848843,107855.43310306476,107877.93129192975,135095.917416226,118524.29321886413,124353.84582333069,107446.75574989535,103449.81335815218,91146.3207444755,76939.83216893768,126494.56186774561,70419.57094964762,118781.504309353,64320.87964372718,115614.44964351162,125675.50283091664,122743.23040000732,134321.96882946946,95894.87086191033,133998.82729650522,128648.94587219934,115638.17003014738,170765.90295684716,156750.1974059218,112730.68949765657,105270.64965064063,93503.52410840685
