F72017-50-0,F72017-50-1,F72017-50-2,F72017-50-3,F72017-50-4,F72017-50-5,F72017-50-6,F72017-50-7,F72017-50-8,F72017-50-9,F72017-50-10,F72017-50-11,F72017-50-12,F72017-50-13,F72017-50-14,F72017-50-15,F72017-50-16,F72017-50-17,F72017-50-18,F72017-50-19,F72017-50-20,F72017-50-21,F72017-50-22,F72017-50-23,F72017-50-24,F72017-50-25,F72017-50-26,F72017-50-27,F72017-50-28,F72017-50-29,F72017-50-30,F72017-50-31,F72017-50-32,F72017-50-33,F72017-50-34,F72017-50-35,F72017-50-36,F72017-50-37,F72017-50-38,F72017-50-39,F72017-50-40,F72017-50-41,F72017-50-42,F72017-50-43,F72017-50-44,F72017-50-45,F72017-50-46,F72017-50-47,F72017-50-48,F72017-50-49,F72017-50-50
3230.3961002020274,2901.0169657606934,3011.3176375644093,3055.0443260495867,3106.344192785232,2814.6370752180574,3031.453036858648,3121.5006044702973,3126.1002868945784,2886.664904407627,3088.202511366032,2901.378968606779,3349.1083362265413,3145.162922200667,3285.95272381627,3139.81953187815,2769.569211697022,3127.4642352891046,3064.569459999914,2645.2204047071864,2929.28546497087,3205.2346752443345,3156.2074248275167,2888.186202968275,2765.9986031575654,2863.9624193103664,3059.7259166825797,3022.4547832989333,3230.196839976971,3237.63558266645,3129.6440303666286,3229.524226276127,2857.0737907281427,3019.390985217475,2977.5354416143177,3095.980426629474,2957.404017155791,3278.9118172219205,3183.7803255670315,3105.4049609233252,3144.036172028923,3077.7178090601938,2970.6925061675374,2971.6132073803074,2999.2073586126653,3202.081575644353,3207.6808636994465,3300.0723562493877,3195.7114710051137,2945.537685440595,2831.3486835675894
3159.7633785322623,2901.0169657606934,2895.6291811492333,3055.0192985751337,2966.0997452021584,2814.6370752180574,3031.4530319980304,3121.5006044702973,3024.5429625322145,2681.830667825011,2948.139328132571,2749.731626348246,3262.7315715843997,2825.098960268878,2919.6510318198007,3139.81953187815,2769.569211697022,2897.0497337648817,3064.569459999914,2645.2204047071864,2921.1621156121537,3154.848996196685,2996.0,2888.186202968275,2754.866159407921,2863.9624193103664,2699.7329615012304,3022.4547832989333,3041.401979404076,3130.130175134902,3102.9108180919266,2750.934277274786,2857.0737907281427,2882.9345144427143,2966.6766837898012,3082.6230885995496,2695.860774575021,2986.6950471290475,3183.7803255670315,3070.914872467355,3062.737624353804,3077.7178090601938,2970.6925061675374,2938.4371166874103,2884.057977679656,3202.081575644353,3100.827098330841,3057.550163537463,2838.9250046330417,2882.246499923167,2831.3486835675894
3117.517240267156,2835.919730255079,2895.6291811492333,3015.3796952550606,2582.2302634998123,2814.6360184724545,3031.4530319980304,2907.6085602529256,3024.5429625322145,2681.830667825011,2866.8746095118095,2749.731626348246,3068.2873977601275,2825.098960268878,2919.6510318198007,3082.237265432047,2664.7324897935023,2897.0497337648817,3064.569459999914,2645.2204047071864,2882.6077034262653,2960.386851597171,2996.0,2888.186202968275,2754.866159407921,2771.893007723549,2699.7329615012304,2777.4591427610017,2727.7107725476026,3085.2870385431406,2903.2247155730556,2750.934277274786,2705.4718371533286,2843.2159520978857,2593.847477797007,2752.274864636559,2695.860774575021,2878.6162537128216,2801.024824098805,2816.7444839157456,2775.2796143302953,2942.9203589948343,2970.6925061675374,2813.337066213601,2884.057977679656,3143.33155768703,2953.8464745354227,2940.5176485155675,2838.9250046330417,2882.246499923167,2761.0345672927315
2739.591437025555,2535.060585140245,2850.886082867324,2999.1094145680313,2582.2302634998123,2770.104274647246,2731.8145472824026,2875.7854209673997,2888.525786663069,2651.501241896057,2765.4572394417987,2721.0785613828007,3010.9416117843284,2825.098960268878,2555.9475153481853,2868.2716539012,2655.204568767407,2866.3483256672903,2946.7683513851425,2645.2204047071864,2871.9782243870955,2896.816191558811,2915.6098282427715,2867.7444697478268,2372.696643922332,2618.110527433008,2699.7329615012304,2633.393183946532,2727.7107725476026,3033.440918596801,2640.7775949343027,2750.934277274786,2631.614601216307,2843.1359354591727,2469.9415799174694,2604.2812359869254,2688.5544367506227,2795.7072793997654,2568.4645552142583,2574.705644097233,2775.2796143302953,2942.9203589948343,2718.414189189399,2511.018200129876,2597.4945873686606,2998.112287142015,2750.727184857712,2826.2668398397063,2607.9658308186717,2586.710376553737,2761.0341140271735
2591.382156347939,2486.9908839139316,2809.886456860211,2729.701626790269,2559.2091167271046,2688.330774839854,2647.081721628984,2456.406583950919,2855.349397990218,2499.391362203816,2572.2049640132686,2683.1971098031313,2712.69763148082,2814.2544501329276,2386.9393998299774,2868.2716539012,2636.1086276422593,2726.759417522109,2946.7683513851425,2645.1767018936866,2785.7050709162536,2774.660082769421,2712.5,2387.01420060626,2372.696643922332,2618.110527433008,2681.096218057519,2633.393183946532,2632.8091821657,2793.6973169076896,2640.7775949343027,2708.1708648706776,2631.614601216307,2622.543777323286,2469.9415799174694,2604.2812359869254,2688.5544367506227,2662.5549375424557,2568.4595350154923,2574.705644097233,2775.2796143302953,2903.1282507333462,2718.414189189399,2511.018200129876,2597.4945873686606,2729.6397622500835,2634.9134631489924,2814.3606860055556,2579.25237516441,2586.710376553737,2760.1056207177808
2591.382156347939,2486.9908839139316,2591.8818214788193,2447.8078847753623,2543.8866628062583,2688.330774839854,2647.081690905802,2456.406583950919,2815.3501876589808,2457.011398693619,2572.1513465622543,2594.391532314229,2707.19763148082,2709.4879462596896,2386.9393998299774,2581.3688984271494,2603.6948351979154,2726.759417522109,2731.407437404084,2577.1059627733785,2258.6146927399495,2774.660082769421,2712.5,2387.01420060626,2372.696643922332,2617.0648972358003,2635.1568633058314,2570.1708324535193,2603.125574925799,2753.054575933221,2640.7775949343027,2704.9211438863717,2507.4081573236163,2622.543777323286,2469.9415799174694,2604.2812359869254,2673.254998087966,2389.6195596850525,2568.4595350154923,2574.705644097233,2721.8524991626946,2743.530031328791,2718.414189189399,2511.018200129876,2597.4945873686606,2729.6397622500835,2634.9134631489924,2704.6744716325115,2579.25237516441,2578.3765496127517,2723.3115081378437
2591.382156347939,2336.9908839139316,2591.8818214788193,2447.8078847753623,2520.131268881434,2688.2978835900667,2632.5101174995457,2456.406583950919,2807.3714592330007,2206.639044245822,2422.995915665592,2371.1225269468855,2707.19763148082,2416.2848182638145,2375.805120950571,2581.3688984271494,2448.405759574489,2726.759417522109,2613.9832424573237,2532.087181224172,2258.6146927399495,2744.6218352204696,2523.367960439314,2387.01420060626,2249.116731909511,2367.5967050834124,2586.7302075671605,2570.1708324535193,2316.669679563499,2696.087919281288,2440.428104652253,2666.067484923575,2349.4138860788407,2622.543777323286,2304.2674450088753,2604.242582604898,2582.958841387339,2389.6195596850525,2568.4595350154923,2574.705644097233,2660.7838226728236,2743.530031328791,2506.8018906103543,2255.632551177184,2381.814786905498,2430.406546275639,2624.0245068728395,2663.029911251727,2462.1976163938693,2578.3765496127517,2670.4030620884478
2544.839490481678,2282.8553734302986,2549.463530944993,2447.807815500202,2503.639908494913,2688.2978835900667,2595.937340958995,2456.315032753917,2772.1368825894524,2206.639044245822,2422.995915665592,2371.1225269468855,2704.3103646033915,2416.2848182638145,2375.805120950571,2484.4551223934222,2358.924151081716,2656.6454665849724,2613.9832424573237,2532.087181224172,2258.614562730116,2744.6218352204696,2523.367960439314,2370.4304238648124,2249.116731909511,2244.8391572908004,2495.173307612532,2570.1708324535193,2173.6354638006133,2548.5052827104346,2344.752025603247,2381.9303779420534,2198.5044761551444,2549.3553024833354,2292.62245449366,2517.2812359869254,2572.3506999379038,2379.0910034548506,2547.0823194606774,2456.682132892316,2660.7838226728236,2476.9576997109725,2506.8018003378393,2255.632551177184,2381.814786905498,2300.317131092502,2624.0245068728395,2663.029911251727,2424.2501180136665,2364.5867933611817,2634.9072717021954
2544.839490481678,2277.1367991944826,2427.6235858860273,2447.8075190389372,2402.646585138408,2530.077354617395,2595.9371639009833,2456.315032753917,2661.4335304836777,2197.832261438159,2422.995915665592,2371.1223532759877,2704.3103646033915,2312.371612855781,2119.8609214257067,2484.4551223934222,2324.0,2656.6454665849724,2579.403833295831,2531.9974597006376,2258.614562730116,2630.315894148001,2523.367960439314,2285.1039906696224,2249.116731909511,2195.4921146998067,2419.200020797526,2541.6708324535193,2173.6354638006133,2548.5052827104346,2307.4150350110936,2381.9303779420534,2198.5044761551444,2442.327350144521,2292.62245449366,2434.2802846759987,2572.3506999379038,2378.826889964933,2530.1228360612813,2430.748977709188,2456.71014106697,2232.163697203706,2397.0940278011167,2255.632551177184,2178.7336774115033,2300.317131092502,2503.2774024538953,2547.0275174542166,2349.789260274535,2364.5867933611817,2634.9072717021954
2479.59774994108,2277.1367991944826,2326.4951431856452,2408.096127324107,2393.583823908722,2450.625333626228,2438.0049809242882,2330.5987943335804,2620.0069653652954,2170.788109758758,2339.4914750337366,2371.1171591127445,2439.5600103736615,2312.371612855781,2119.8609214257067,2484.4409367243697,2324.0,2577.953979897263,2508.616341529403,2497.022487174709,2247.3165650327446,2589.39530821467,2512.2542575678026,2285.1039906696224,2249.116731909511,2178.9726932618005,2346.1725086394845,2541.6708324535193,2173.6354638006133,2488.4713286817405,2307.4150350110936,2381.9303779420534,2198.5042078825113,2270.614767441856,2278.905578733955,2434.2802846759987,2392.567792673168,2356.892294489484,2369.747362864631,2372.268275126009,2456.71014106697,2232.1635532474384,2397.0940278011167,2209.7433311269547,2178.7336774115033,2300.317131092502,2503.2774024538953,2547.0275174542166,2349.789260274535,2364.5867933611817,2634.9072717021954
