F282017-30-0,F282017-30-1,F282017-30-2,F282017-30-3,F282017-30-4,F282017-30-5,F282017-30-6,F282017-30-7,F282017-30-8,F282017-30-9,F282017-30-10,F282017-30-11,F282017-30-12,F282017-30-13,F282017-30-14,F282017-30-15,F282017-30-16,F282017-30-17,F282017-30-18,F282017-30-19,F282017-30-20,F282017-30-21,F282017-30-22,F282017-30-23,F282017-30-24,F282017-30-25,F282017-30-26,F282017-30-27,F282017-30-28,F282017-30-29,F282017-30-30,F282017-30-31,F282017-30-32,F282017-30-33,F282017-30-34,F282017-30-35,F282017-30-36,F282017-30-37,F282017-30-38,F282017-30-39,F282017-30-40,F282017-30-41,F282017-30-42,F282017-30-43,F282017-30-44,F282017-30-45,F282017-30-46,F282017-30-47,F282017-30-48,F282017-30-49,F282017-30-50
70922475472056.52,23736780902738.97,26702287223752.58,1950554327061290.2,541094587006747.5,1010795248975546.1,1735873326905158.8,394656372181369.7,1410095871975007.2,1217851342272616.2,198224432432745.9,389687093858138.25,559818513581992.6,228817971818028.22,1209201313195195.2,7875218218676.586,1506650541382470.0,85316130973520.72,3069381263044614.5,327500647405715.2,739500828040620.4,3431545674699986.0,2824190905238836.5,230988838485432.47,372762485307493.2,1294872664557623.0,788115445565592.1,146194681673524.6,33314075108534.83,308163900132331.8,32238944513455.055,21367804767362.895,63101720855583.38,869165875143413.8,1288592951068882.2,657758885551572.6,2222323853516677.8,248320990057734.16,1134895937134100.8,181705995893365.94,24906531337907.973,388891209620992.25,6581183194318207.0,163057514090688.47,3643621664790184.0,310772311676884.1,15362023032130.125,47234789974433.164,24538829191843.582,2417498763682258.5,509571778087977.8
20022361473412.082,2699852226422.0195,26702287223752.58,123383851792630.97,91602984334550.83,1010795248975546.1,1735873326905158.8,394656372181369.7,1410095871975007.2,799944699497689.5,198224432432745.9,141133995435353.2,164383874814850.0,228817971818028.22,1104984847747379.8,7875218218676.586,1506650541382470.0,85316130973520.72,523546292817756.4,327500647405715.2,739500828040620.4,3431545674699986.0,743453497278860.6,230988838485432.47,315969641623981.94,1294872664557623.0,288220163070377.5,146194681673524.6,24645730129846.457,27754613764107.297,32238944513455.055,21367804767362.895,63101720855583.38,30742547801028.734,1288592951068882.2,459110116151319.8,1117112445813525.1,243363026822540.44,225517221351092.8,181705995893365.94,24906531337907.973,371151425706603.4,2176836299434748.0,163057514090688.47,176803969988807.6,310772311676884.1,15362023032130.125,47234789974433.164,24538829191843.582,668993197070320.1,131318068734419.69
17331982746375.906,831074534430.7816,26702287223752.58,12071303272113.953,91602984334550.83,1010795248975546.1,1617618637694959.8,65665824995682.1,1320037195443733.8,3308662760022.8364,64148277371070.9,141133995435353.2,164383874814850.0,65634673959821.89,322615185190768.75,7875218218676.586,899544929137693.2,85316130973520.72,204671915894360.25,35114277606498.33,170868931776896.44,1845364611966275.0,743453497278860.6,105901220395140.25,72879187079648.33,1294872664557623.0,288220163070377.5,146194681673524.6,13833719449870.656,24706290419591.812,32238944513455.055,21367804767362.895,63101720855583.38,25381250732925.72,610989465436705.9,388197543233142.5,646389586561068.0,85736049123808.81,225517221351092.8,117546529137703.06,24906531337907.973,301648878713326.1,990553194311372.6,163057514090688.47,176803969988807.6,310772311676884.1,15362023032130.125,47234789974433.164,24538829191843.582,665722665381259.9,131318068734419.69
17331982746375.906,831074534430.7816,26702287223752.58,12071303272113.953,91602984334550.83,252404616274041.4,830549598038747.5,40317367119763.16,1320037195443733.8,12654025400.921766,64148277371070.9,136589722592107.52,164383874814850.0,65634673959821.89,322615185190768.75,1713458567728.8018,161191992772190.38,85316130973520.72,204671915894360.25,28784060553401.086,31894103904257.3,462584826559287.3,743453497278860.6,34382242113167.113,72879187079648.33,257254843817862.0,288220163070377.5,94161642408083.23,13833719449870.656,14233796528701.998,32238944513455.055,21367804767362.895,63101720855583.38,25381250732925.72,238074428625889.16,54965430072003.336,646389586561068.0,78602037009347.98,225517221351092.8,117546529137703.06,1990844807862.1309,218683028063284.16,990553194311372.6,163057514090688.47,176803969988807.6,310772311676884.1,12578453881142.793,1685937714437.6353,24538829191843.582,665722665381259.9,131318068734419.69
17331982746375.906,831074534430.7816,26702287223752.58,1993030810450.7668,91602984334550.83,35304863135101.13,135362098815807.31,40317367119763.16,123492216470818.55,11178183645.521263,36202661970999.28,13012808572601.863,24993520712883.39,62883725971994.055,113444286681400.1,1713458567728.8018,29178320997048.54,85316130973520.72,204671915894360.25,10087075817567.193,31894103904257.3,249703973147832.38,743453497278860.6,34382242113167.113,72879187079648.33,257254843817862.0,288220163070377.5,94161642408083.23,1288726434314.0586,14233796528701.998,32238944513455.055,21367804767362.895,23233262884616.16,25381250732925.72,238074428625889.16,54965430072003.336,297686383175909.44,1046448700844.7339,225517221351092.8,117546529137703.06,1990844807862.1309,1533404495735.3528,25148132880885.938,163057514090688.47,176803969988807.6,106492761011387.52,6447258844699.744,1685937714437.6353,24538829191843.582,607198198078618.1,29656720640364.062
17331982746375.906,272089167724.85587,26702287223752.58,1993030810450.7668,91602984334550.83,35304863135101.13,40269419533159.58,30326608707194.83,113422264000761.6,11178183645.521263,36202661970999.28,13012808572601.863,24993520712883.39,62883725971994.055,98543764807505.48,1713458567728.8018,29178320997048.54,66026789937396.555,204671915894360.25,10087075817567.193,31429414324331.5,50281052616799.26,670088629035677.4,34382242113167.113,16024232347735.344,21667495632090.555,288220163070377.5,49896713374468.47,1288726434314.0586,6619311691267.645,12469109757409.967,21367804767362.895,23233262884616.16,25381250732925.72,216446345226209.9,54965430072003.336,108738452116947.89,1046448700844.7339,28986050095930.66,85457667791222.6,1990844807862.1309,1533404495735.3528,25148132880885.938,163057514090688.47,176803969988807.6,106492761011387.52,6447258844699.744,1685937714437.6353,24538829191843.582,410159915698029.75,15299614550426.545
17331982746375.906,272089167724.85587,26702287223752.58,1993030810450.7668,34889043148923.53,35304863135101.13,40269419533159.58,30326608707194.83,113422264000761.6,11178183645.521263,36202661970999.28,13012808572601.863,24993520712883.39,62883725971994.055,98543764807505.48,1713458567728.8018,29178320997048.54,66026789937396.555,4354810223722.547,7050556190960.202,31429414324331.5,50281052616799.26,476807693881311.2,1025764943937.2094,16024232347735.344,21667495632090.555,288220163070377.5,49896713374468.47,1288726434314.0586,6619311691267.645,9932600070716.521,21367804767362.895,11918180699020.104,25381250732925.72,142180160678894.4,54965430072003.336,108738452116947.89,1046448700844.7339,28986050095930.66,85457667791222.6,1990844807862.1309,1533404495735.3528,25148132880885.938,150525096489713.8,154985631377029.6,106492761011387.52,6447258844699.744,1685937714437.6353,24538829191843.582,64667645996561.85,15299614550426.545
17331982746375.906,272089167724.85587,26702287223752.58,1993030810450.7668,34889043148923.53,35304863135101.13,40269419533159.58,30326608707194.83,96336542938957.38,11178183645.521263,36202661970999.28,13012808572601.863,15334900110599.016,62883725971994.055,17885142692315.145,1713458567728.8018,14177453089195.3,66026789937396.555,4354810223722.547,7050556190960.202,21365041506413.547,50281052616799.26,476807693881311.2,1025764943937.2094,16024232347735.344,21667495632090.555,7800548866774.998,49896713374468.47,1288726434314.0586,6619311691267.645,9932600070716.521,21367804767362.895,11918180699020.104,12755110285101.951,142180160678894.4,54965430072003.336,54164277853158.82,231331363242.40894,20429694424760.824,62185579783577.086,1990844807862.1309,1533404495735.3528,25148132880885.938,111147288618710.61,154985631377029.6,27679615762440.3,6447258844699.744,188929935372.60782,846946628249.7064,64667645996561.85,15299614550426.545
17331982746375.906,272089167724.85587,26702287223752.58,1993030810450.7668,26576448262956.28,35304863135101.13,40269419533159.58,30326608707194.83,96336542938957.38,11178183645.521263,5193758773626.407,13012808572601.863,11620166150854.047,62883725971994.055,17885142692315.145,1713458567728.8018,717903311774.3135,9796567406863.238,4354810223722.547,7050556190960.202,21365041506413.547,1250921023737.92,476807693881311.2,1025764943937.2094,15622722902499.623,21667495632090.555,7800548866774.998,1136790012111.6584,1288726434314.0586,6619311691267.645,9932600070716.521,7341850136751.541,11918180699020.104,12755110285101.951,7292012063718.352,26503124011.817375,14576616883555.852,231331363242.40894,1357070635726.0266,10460975172448.473,627658028539.7021,1533404495735.3528,25148132880885.938,48786644561694.22,45957132515531.07,27679615762440.3,6447258844699.744,188929935372.60782,791597238718.7888,7198149132805.863,15299614550426.545
17331982746375.906,272089167724.85587,22916175036289.773,1993030810450.7668,26576448262956.28,35304863135101.13,4386391701920.729,12662912032410.025,4821960326346.867,11178183645.521263,346097689070.44495,13012808572601.863,11620166150854.047,2913685876200.4897,17885142692315.145,1713458567728.8018,717903311774.3135,6792428959313.29,4354810223722.547,7050556190960.202,8545880948019.394,1250921023737.92,476807693881311.2,1025764943937.2094,15622722902499.623,2810492975279.1606,7800548866774.998,1136790012111.6584,1288726434314.0586,6619311691267.645,9932600070716.521,7341850136751.541,11918180699020.104,36552735350.137634,7292012063718.352,26503124011.817375,14576616883555.852,231331363242.40894,1357070635726.0266,2696370888847.476,627658028539.7021,198807520517.77026,2476102734250.022,27471477167745.246,11949837902211.047,27679615762440.3,6359045922286.482,188929935372.60782,791597238718.7888,7198149132805.863,15299614550426.545
