F262017-30-0,F262017-30-1,F262017-30-2,F262017-30-3,F262017-30-4,F262017-30-5,F262017-30-6,F262017-30-7,F262017-30-8,F262017-30-9,F262017-30-10,F262017-30-11,F262017-30-12,F262017-30-13,F262017-30-14,F262017-30-15,F262017-30-16,F262017-30-17,F262017-30-18,F262017-30-19,F262017-30-20,F262017-30-21,F262017-30-22,F262017-30-23,F262017-30-24,F262017-30-25,F262017-30-26,F262017-30-27,F262017-30-28,F262017-30-29,F262017-30-30,F262017-30-31,F262017-30-32,F262017-30-33,F262017-30-34,F262017-30-35,F262017-30-36,F262017-30-37,F262017-30-38,F262017-30-39,F262017-30-40,F262017-30-41,F262017-30-42,F262017-30-43,F262017-30-44,F262017-30-45,F262017-30-46,F262017-30-47,F262017-30-48,F262017-30-49,F262017-30-50
6700.3589871720815,6658.408572442382,5458.774986585035,6156.8985233229905,5677.907491957174,6050.516473404166,5925.538475722769,5751.635037589388,4500.472543859996,5105.985496629945,6190.143052884541,5917.0483916024805,5885.7142880660695,5224.625655507596,6313.2021609044805,5393.771104826945,5811.260931971887,5617.41126399634,4593.743171006587,6358.078812158857,5570.822367887458,5672.4107968279295,5466.04113284159,5749.082258342398,5115.855755784287,5029.392799602099,5749.5059448986185,5181.003649506485,5918.3107697253,6345.434259525864,6112.908630582238,6476.558542459899,6014.714376212548,7096.757264025536,5296.44349907375,5219.4682109033365,5041.712252716856,5777.187401125418,7047.6796682850345,6360.093705505087,6532.540591292612,6259.714691299592,5589.403318364824,6511.436868087958,6181.294422939215,5496.0079540332345,5245.856895259538,5785.48035249852,5913.4782080926125,6127.98421918549,4558.1358109753055
5541.569080756697,5976.689661811117,4000.863571886684,4893.654660548549,4259.716571802611,5324.367676343744,5168.068365301031,5107.1962785686665,4500.472543859996,4366.81877524497,5902.631674646614,5730.708446384857,5885.7142880660695,4718.931623735532,5888.229879296496,4939.750792078839,4672.749069372413,4700.314122871481,4593.743171006587,5244.1304687671145,4307.933882663996,4624.822510597393,4469.703413660177,4971.770823292458,4347.730493617099,4262.376109553959,5749.5059448986185,4720.072059639015,4765.015678764445,5444.667672214024,4529.853619791542,4754.474460336603,5249.932985402471,6718.131370373515,5296.44349907375,5087.739560119146,5041.712252716856,5777.187401125418,6022.068839589699,4721.074972809871,4882.785481967604,4911.148316043811,5495.659074261715,5672.082084225345,5280.652144149523,4427.498512543965,4794.776752573485,5092.582987514127,5316.118441764784,5177.733272546241,4508.46795698529
5541.569080756697,5976.689661811117,4000.863571886684,4844.270327717177,3942.6372427454057,5246.753675488751,4909.856966235909,5107.1962785686665,3994.3571485121142,4150.670444482266,5125.358981942814,4877.977307008487,4420.5128165792175,4718.931623735532,5568.8816758770345,4321.983558383602,4501.8161868175175,4549.993975546502,4316.776904904058,5244.1304687671145,3340.1152476424227,4624.822510597393,3801.5736438625,4971.770823292458,4330.00985022926,4262.376109553959,4829.855993141504,4223.418908183417,4466.97380053754,4489.986427147595,4492.565048877153,4754.474460336603,4660.849861284026,5361.8769551813775,5050.809729066845,4870.294037976008,5041.712252716856,4325.338178711583,5511.72530473089,4360.359608630531,4882.785481967604,4911.148316043811,5495.659074261715,5672.082084225345,4868.484304466179,4170.622607276848,4794.776752573485,5067.37302430094,4657.642970186378,5085.852460733095,3820.425353148495
5506.095172184545,5119.138594597215,4000.863571886684,4246.693014110355,3668.4875619928257,4325.795759089637,4200.705448323697,4731.509386320751,3994.3571485121142,4150.670444482266,4685.828749724307,4008.7066752540936,4299.9558732521855,4125.009504451061,4720.6943393576785,3979.9496013828684,4479.137504799566,3992.101010058304,4031.1000103934093,5233.159044401813,3340.1152476424227,4581.331330852634,3654.337294105295,4415.154595294211,4306.520508752534,4262.376109553959,4829.855993141504,4223.418908183417,4235.712136367224,3809.042997578394,4169.622689057241,4652.547411738327,4448.53219071057,4502.053340363478,4259.742765531159,4223.943371773319,4512.732195007004,4325.338178711583,4653.559586791096,4360.359608630531,4057.8871444842025,4911.148316043811,5146.0154300660015,4867.339390139194,4856.4354775231095,3988.40414209107,4109.92092282767,4580.954550141216,4335.2664919586205,4828.126444029571,3820.425353148495
5113.104041871181,4924.174272367849,3703.9248719961965,3879.5771541378763,3668.4875619928257,4325.795759089637,4200.705448323697,4680.956044758033,3540.589021893934,4093.7180397884904,4237.619122425767,3723.393876447313,4299.9558732521855,4071.1876106566224,4372.288298165013,3979.9496013828684,4390.837515832539,3992.101010058304,3881.171131128822,5233.159044401813,3340.1152476424227,3927.9708910601107,3654.337294105295,4055.5517517382596,4287.029347215415,4160.108723626896,4160.5534070202875,4223.418908183417,4235.712136367224,3809.042997578394,3782.7037082817724,4418.989271307168,4448.53219071057,4502.053340363478,4259.742765531159,4080.47545781128,4512.732195007004,4325.338178711583,4077.4269572089147,4275.813900281704,4057.8871444842025,4266.90836566393,5103.016481485758,4867.339390139194,4856.4354775231095,3988.40414209107,4109.92092282767,4277.414319026832,3967.481955113089,4828.126444029571,3820.425353148495
4710.314885671451,4288.989071438111,3703.9248719961965,3731.3451178504483,3466.0331771743395,3787.035558470546,4136.315969406655,4228.622194529029,3540.589021893934,4093.7180397884904,4237.619122425767,3723.393876447313,4299.9558732521855,3994.529031778914,4222.683803412008,3979.9496013828684,3605.3813843642993,3992.101010058304,3881.171131128822,5233.159044401813,3340.1152476424227,3927.9708910601107,3541.9388385430407,3924.575105433859,3629.117075624654,4160.108723626896,4160.5534070202875,4073.6362803199745,4045.3161898227404,3809.042997578394,3675.903954886341,4050.917077470651,3897.3093664453563,4282.900463421688,4259.742765531159,3612.9567125765016,4348.026814016267,4325.338178711583,4077.4269572089147,4234.765330813292,4057.8871444842025,3874.5475203492088,4525.653459602799,4078.625894957889,4292.497961848951,3988.40414209107,4109.92092282767,4174.915997853068,3826.8134184138685,4828.126444029571,3820.425353148495
4710.314885671451,4101.884598891365,3703.9248719961965,3731.3451178504483,3466.0331771743395,3787.035558470546,3920.9258461962895,3948.9735154043365,3540.589021893934,4038.1430107538836,3930.9441879414317,3684.0167785852864,4299.9558732521855,3859.457576061282,3779.862031990223,3648.786356773661,3605.3813843642993,3992.101010058304,3725.6479816405345,4743.974067665834,3340.1152476424227,3927.9708910601107,3510.062489487132,3764.699747602607,3629.117075624654,4160.108723626896,3864.5932829879125,4073.6362803199745,3949.991230865384,3442.442550112756,3422.503823625271,4050.917077470651,3897.3093664453563,3590.383359400056,4069.6871965946443,3612.9567125765016,3994.298906092359,4325.338178711583,3998.1377580010853,3918.7107977842993,3755.1647853670875,3874.5475203492088,4525.653459602799,4078.625894957889,4006.489060821525,3962.0234341043993,4109.92092282767,4156.423215450744,3629.3293202091086,4765.839639707772,3812.452372220343
4233.042960042962,4033.3114830809673,3669.0898974943266,3376.8894874677117,3466.0331771743395,3724.598749037241,3744.3005820772064,3930.6289462174836,3540.589021893934,3848.394856165322,3908.5541944551014,3684.0167785852864,4299.9558732521855,3633.638401686022,3779.862031990223,3648.786356773661,3364.5996400200906,3992.101010058304,3607.8456830104446,4682.686947575687,3340.1152476424227,3610.6715803800244,3510.062489487132,3547.99930069668,3629.117075624654,4160.108723626896,3826.051759695848,3814.1628651102974,3816.1895898992393,3442.442550112756,3422.503823625271,4050.917077470651,3897.3093664453563,3553.200424296774,4035.764620711465,3612.9567125765016,3994.298906092359,4299.127855281495,3998.1377580010853,3653.926837653375,3755.1647853670875,3611.575008614984,4525.653459602799,4078.625894957889,3896.389270820949,3962.0234341043993,3609.4698710037255,4156.423215450744,3505.2226717007147,4420.896216805376,3382.666735460858
3885.782740682462,3883.483012447664,3614.1775551838937,3376.8894874677117,3466.0331771743395,3721.4056695535783,3715.531730267895,3867.377357182425,3540.589021893934,3848.394856165322,3908.5541944551014,3684.0167785852864,4299.9558732521855,3574.6162864697644,3779.862031990223,3648.786356773661,3364.5996400200906,3827.6117305106704,3574.8499326978417,4682.686947575687,3340.1152476424227,3610.6715803800244,3510.062489487132,3547.99930069668,3627.8630868906957,4160.108723626896,3763.8361483736494,3814.1628651102974,3670.996419618605,3430.8862173508587,3422.503823625271,3992.3456315493145,3791.671037500967,3553.200424296774,4035.764620711465,3612.9567125765016,3621.2434956351726,4099.775840397283,3998.1377580010853,3653.926837653375,3691.4763399783733,3565.1188979929602,4436.133059267618,4078.625894957889,3896.389270820949,3884.5082149020927,3609.4698710037255,4144.486066964323,3505.2226717007147,4420.896216805376,3382.666735460858
3825.4038632063107,3883.483012447664,3614.1775551838937,3317.872131459053,3323.4580884182838,3592.529456069763,3646.3494125412026,3857.019689678614,3540.589021893934,3848.394856165322,3908.5541944551014,3684.0167785852864,4201.43878602947,3574.6162864697644,3639.949594003609,3648.786356773661,3364.5996400200906,3827.6117305106704,3466.6325961899097,4359.196107287833,3340.1152476424227,3610.6715803800244,3510.062489487132,3547.99930069668,3441.9402778847625,4139.80340390352,3647.7584219927794,3814.1628651102974,3602.6878651844086,3430.8862173508587,3408.947581842801,3992.3456315493145,3791.671037500967,3553.200424296774,4035.764620711465,3612.9567125765016,3578.002069293975,4080.646650994936,3723.2497388992592,3653.926837653375,3585.036109732761,3565.1188979929602,3930.084401262786,4078.625894957889,3896.389270820949,3652.1664254803036,3609.4698710037255,4144.486066964323,3361.837973148299,4340.145649406637,3382.666735460858
3671.745591936653,3883.483012447664,3590.6190760252525,3317.872131459053,3301.3296767952743,3410.810517418109,3629.271540335277,3751.1303821829997,3540.589021893934,3753.8983650080027,3683.9357641348597,3484.1557887799095,4067.938634714719,3574.6162864697644,3639.3904452798242,3648.786356773661,3364.5996400200906,3827.6117305106704,3466.6325961899097,4196.560762384597,3340.1152476424227,3567.2898113263414,3501.7902726882567,3547.99930069668,3399.221481395187,3904.6986300226677,3647.7584219927794,3753.313235125718,3595.7398382086876,3407.089413780177,3408.947581842801,3977.8859730915656,3499.203597659012,3553.200424296774,3553.935881496901,3612.9567125765016,3578.002069293975,3963.083621374234,3723.2497388992592,3653.926837653375,3585.036109732761,3565.1188979929602,3553.2558136822536,3668.610884342566,3577.656572654655,3648.3011020428485,3582.772264815827,3995.393184154036,3361.837973148299,4340.145649406637,3382.666735460858
3671.745591936653,3688.0803906074925,3590.6190760252525,3317.872131459053,3301.3296767952743,3410.810517418109,3629.271540335277,3751.1303821829997,3334.8496210525536,3753.8983650080027,3683.9357641348597,3484.1557887799095,4067.938634714719,3574.6162864697644,3639.3904452798242,3623.697458670141,3364.5996400200906,3733.4070060324902,3466.6325961899097,4165.4406536858105,3340.1152476424227,3567.2898113263414,3319.8039570691817,3547.99930069668,3399.221481395187,3651.062778320317,3647.7584219927794,3684.0275354519963,3595.7398382086876,3407.089413780177,3317.5232273820466,3942.402996205855,3499.203597659012,3553.200424296774,3553.935881496901,3612.9567125765016,3530.656777604897,3963.083621374234,3723.2497388992592,3653.926837653375,3473.7602880536338,3565.1188979929602,3553.2558136822536,3668.610884342566,3577.656572654655,3648.3011020428485,3575.8939350012497,3920.6552219611513,3361.837973148299,3948.5802167666916,3382.666735460858
