F72017-50-0,F72017-50-1,F72017-50-2,F72017-50-3,F72017-50-4,F72017-50-5,F72017-50-6,F72017-50-7,F72017-50-8,F72017-50-9,F72017-50-10,F72017-50-11,F72017-50-12,F72017-50-13,F72017-50-14,F72017-50-15,F72017-50-16,F72017-50-17,F72017-50-18,F72017-50-19,F72017-50-20,F72017-50-21,F72017-50-22,F72017-50-23,F72017-50-24,F72017-50-25,F72017-50-26,F72017-50-27,F72017-50-28,F72017-50-29,F72017-50-30,F72017-50-31,F72017-50-32,F72017-50-33,F72017-50-34,F72017-50-35,F72017-50-36,F72017-50-37,F72017-50-38,F72017-50-39,F72017-50-40,F72017-50-41,F72017-50-42,F72017-50-43,F72017-50-44,F72017-50-45,F72017-50-46,F72017-50-47,F72017-50-48,F72017-50-49,F72017-50-50
3024.739389620249,3185.9281913431905,3275.172348679155,3110.8516385268026,3134.535773315962,2814.726649582573,2996.971751623885,3275.807867890255,3248.376813982396,2955.1711076087154,3192.055098356769,3328.2666517515786,2951.7204792477714,2688.420025519349,2878.1797380638627,2948.53091756887,2640.4597137014407,2871.37613442115,3235.295820860126,3194.4534711353263,2967.9838217284323,3118.7168848123683,2644.6740559803993,2876.6012408023958,2965.433349020544,3120.8967083447455,2686.7195161716254,3236.3082869885056,3125.021449187923,3134.218705089619,3345.2504576338456,3194.3061501051334,2879.6494945592485,3009.142717637682,3074.9735139425893,2690.781493299157,3378.8707020249067,3041.9127593084413,2893.2638546128896,3190.7196526673742,3059.7855645715704,3429.090185534037,2857.305886342391,2925.499156257967,3005.536798082035,3494.195326219868,2989.275546058654,3070.379519828463,2844.9162979998155,3179.756929557315,3111.8216187885982
2343.009401862763,2369.7819885607605,2757.2209122934655,2369.314658794398,2535.209632481364,2221.5762039963265,2182.5884001721824,2195.5720625119,2531.6000615462594,2099.503673565695,2632.7127515185775,2452.4975695455605,2360.373686698612,2465.600601478706,2259.005658467562,2276.708022383925,2219.1315109933194,2294.737711955015,2672.69395902081,2421.459736338584,1986.0037012072685,2526.5455924025873,2381.588793436929,2138.13062161069,2523.0030376024524,2329.25896571252,2430.6973908610844,2479.5084049350553,2360.7380114553753,2478.558338710271,2401.6191685632202,2513.4153500669795,2382.240378625408,2654.538076203617,2548.4682605494236,2303.0057415452147,2770.414314700264,2072.029156043113,2285.248495282586,2473.8034353374533,2482.9884951576546,2664.769643925705,2397.9042611777204,2411.8476832124243,2370.9399840888263,2787.079533258275,2337.4330115200905,2390.94838221761,2183.6065369673297,2581.6661829262357,2316.671197913145
2202.1141935442,2136.3195099810364,2332.499373168118,2185.4954446385273,2297.083000748199,2141.268158483474,2159.974091413722,2194.908936502764,2353.3022356625097,2099.503673565695,2496.026542506171,2297.4818231668496,2228.3376068694156,2340.7385487284946,1906.8296483550716,2235.3896437378116,2080.0362540686483,2216.286467580809,2357.2511411303453,2149.3326665940817,1986.0037012072685,2317.489902573645,2148.0947266891917,2138.13062161069,2291.515010695573,2028.375852958906,2296.9681785187886,2368.7682214143624,2322.4718141327585,2416.8477796013713,2401.6191685632202,2419.4346334714255,2210.045288206569,2357.17569545012,2438.4637467946714,2207.427839255054,2630.52929734997,2072.029156043113,2120.192353204316,2376.3467879983045,2215.918217522009,2416.086371692655,2224.1215507593793,2240.731161903104,2106.2428716681366,2573.6708338623857,2296.137543490164,2390.94838221761,2183.6065369673297,2221.6094983132302,2316.671197913145
2079.948428598945,2060.090650904804,2157.006413732422,2164.81314881737,2211.1913376007005,2111.435378620361,1961.0760072624748,2068.3544497212215,2249.225924669944,2099.503673565695,2313.19904164152,2297.4818231668496,2140.6479398836254,2225.0782557169723,1879.3714477428562,2001.7734732186545,2080.0362540686483,2216.286467580809,2278.640009312786,1995.7562252664925,1986.0037012072685,2266.992033714935,2146.2205769261395,2080.881598409026,2219.235367437841,2028.375852958906,2015.6174301031979,2349.1634080725553,2250.7012673522595,2273.855299910123,2293.8879916021724,2419.4346334714255,2210.045288206569,2349.8768268411136,2171.142447229824,2204.81153696257,2530.3966171027787,2051.569588953018,1908.9417038314907,2149.539417429766,2215.918217522009,2370.66358989593,2186.1882430607584,2240.731161903104,2106.2428716681366,2365.198795728974,2218.062551753275,2166.603226785922,2096.509134161306,2221.6094983132302,2223.163261955656
2072.40213252752,1896.2539662358874,2120.7767733291353,2003.2863884830308,2169.447141447677,2048.220547833808,1961.0760072624748,2010.4949648234442,2086.9991875590613,2099.503673565695,2093.328460519332,2227.9482385373885,2038.5184203333106,1982.6514992877967,1879.3714477428562,1998.8668895641522,1945.3882320406756,2107.044447804542,2245.35081053429,1995.7562252664925,1986.0037012072685,2259.799622478273,2000.1639360627694,2080.881598409026,2166.1408096103246,2028.375852958906,2015.6174301031979,2241.7473102002505,2250.7012673522595,2273.855299910123,2293.8879916021724,2154.783501297493,2163.5864417024986,2257.9923483057983,2171.142447229824,2125.7943298482437,2464.9362097297067,2051.569588953018,1908.9417038314907,2149.539417429766,2197.2524838635045,2131.3853008642413,2118.854899241795,2193.422934059945,2106.2428716681366,2340.971284039204,2218.062551753275,2142.1480251275466,2096.509134161306,2221.6094983132302,2223.163261955656
2072.40213252752,1896.2539662358874,2120.7767733291353,2003.2863884830308,1989.4573827838462,2048.220547833808,1924.5988234673264,1973.9967403668447,2086.9991875590613,2099.503673565695,2093.328460519332,2192.8708997664726,2038.5184203333106,1982.6514992877967,1879.3714477428562,1958.5296423489558,1945.3882320406756,2107.044447804542,2126.874061823767,1995.7562252664925,1986.0037012072685,2248.5354894748994,2000.1639360627694,2080.881598409026,2122.946563190412,2028.375852958906,1975.580332576705,2135.558676762713,1960.1999739436196,2238.967669726645,2293.8879916021724,2154.783501297493,2131.1176207393246,2257.9923483057983,2120.230806512007,1972.886025828146,2430.079955537686,1952.4842445192362,1908.9417038314907,2149.539417429766,2131.818780634333,2131.3853008642413,2083.0853279321573,2156.996980601277,2075.5911148636337,2253.3198854392454,2218.062551753275,2142.1480251275466,2096.509134161306,2221.6094983132302,2223.163261955656
2072.40213252752,1886.6016490596999,2120.7767733291353,2003.2863884830308,1989.4573827838462,2047.8980571121108,1905.9480892429183,1973.9967403668447,2086.9991875590613,2099.503673565695,2093.328460519332,2123.2541223392745,2038.5184203333106,1982.6514992877967,1879.3714477428562,1958.5296423489558,1945.3882320406756,2106.117247012145,2126.874061823767,1995.7562252664925,1986.0037012072685,2162.622696101972,2000.1639360627694,2080.881598409026,1899.813332072742,2028.375852958906,1975.580332576705,2120.1090100250144,1960.1999739436196,2175.7127207568733,2281.216273371598,2088.6031340243217,2131.1176207393246,2219.7438071068373,2120.230806512007,1972.886025828146,2369.702532951451,1844.9254987844788,1843.2806602550836,2119.1851521611748,2131.818780634333,2131.3853008642413,2083.0853279321573,2071.729078129079,2075.5911148636337,2209.2155322332114,2060.972221222195,2142.1480251275466,2096.509134161306,2221.6094983132302,2223.163261955656
2072.40213252752,1820.424024433929,2120.7767733291353,2003.2863884830308,1989.4573827838462,2030.1246129461178,1905.9480892429183,1973.9967403668447,2086.9991875590613,2099.503673565695,2059.2364305302626,2123.2541223392745,2038.5184203333106,1827.93022510303,1879.3714477428562,1958.398544523563,1945.3882320406756,2106.117247012145,2044.4198068461399,1995.7562252664925,1986.0037012072685,2149.179275567382,1806.737776268842,2076.6023331642696,1899.813332072742,2028.375852958906,1975.580332576705,2120.1090100250144,1960.1999739436196,1958.4336594864772,2236.938249154883,2088.6031340243217,1999.3069195910741,2190.223615515385,2120.230806512007,1972.886025828146,2346.827374819507,1844.9254987844788,1843.2806602550836,2119.1851521611748,2131.818780634333,2131.3853008642413,2083.0853279321573,2058.154624078372,2008.9023264226814,2112.8062575393956,2060.972221222195,2142.1480251275466,2096.509134161306,2221.6094983132302,2210.3109923573584
2072.40213252752,1818.6360424799577,2120.7767733291353,2003.2863884830308,1989.4573827838462,2030.1246129461178,1883.5252432499901,1973.9967403668447,2086.9991875590613,2099.503673565695,2059.2364305302626,2123.2541223392745,2038.5184203333106,1827.93022510303,1879.3714477428562,1958.398544523563,1912.2671089384885,2082.916017015503,2044.4198068461399,1956.0404585896097,1986.0037012072685,2099.644234283929,1806.737776268842,2076.6023331642696,1899.813332072742,2017.140634226981,1975.580332576705,2120.1090100250144,1960.1999739436196,1958.4336594864772,2131.5600164048074,2088.6031340243217,1999.3069195910741,2126.0958365083197,2120.230806512007,1972.886025828146,2274.878709788503,1844.9254987844788,1843.2806602550836,2119.1851521611748,2131.818780634333,2131.3853008642413,2083.0853279321573,2055.7819228898857,1964.5592204505542,2112.8062575393956,2060.972221222195,2142.1480251275466,2096.509134161306,2221.6094983132302,2210.3109923573584
2072.40213252752,1818.6360424799577,2120.7767733291353,2003.2863884830308,1989.4573827838462,2030.1246129461178,1823.5214785949913,1973.9967403668447,2086.9991875590613,2099.503673565695,2059.2364305302626,2123.2541223392745,2038.5184203333106,1827.93022510303,1756.8739591569333,1958.398544523563,1912.2671089384885,2082.916017015503,2044.4198068461399,1956.0404585896097,1986.0037012072685,1982.208883274277,1806.737776268842,2061.938686336867,1899.813332072742,2017.140634226981,1975.580332576705,2120.1090100250144,1960.1999739436196,1958.4336594864772,2131.5600164048074,2088.6031340243217,1948.085873709418,1969.1221107229612,2115.659338511741,1972.886025828146,2274.878709788503,1844.9254987844788,1843.2806602550836,2103.4055459866886,2119.1154204960358,2131.3853008642413,2083.0853279321573,2055.7819228898857,1964.5592204505542,2098.1371849874345,2060.972221222195,2142.1480251275466,2096.509134161306,2221.6094983132302,2210.3109923573584
