F22017-10-0,F22017-10-1,F22017-10-2,F22017-10-3,F22017-10-4,F22017-10-5,F22017-10-6,F22017-10-7,F22017-10-8,F22017-10-9,F22017-10-10,F22017-10-11,F22017-10-12,F22017-10-13,F22017-10-14,F22017-10-15,F22017-10-16,F22017-10-17,F22017-10-18,F22017-10-19,F22017-10-20,F22017-10-21,F22017-10-22,F22017-10-23,F22017-10-24,F22017-10-25,F22017-10-26,F22017-10-27,F22017-10-28,F22017-10-29,F22017-10-30,F22017-10-31,F22017-10-32,F22017-10-33,F22017-10-34,F22017-10-35,F22017-10-36,F22017-10-37,F22017-10-38,F22017-10-39,F22017-10-40,F22017-10-41,F22017-10-42,F22017-10-43,F22017-10-44,F22017-10-45,F22017-10-46,F22017-10-47,F22017-10-48,F22017-10-49,F22017-10-50
31072.196187067886,93482.81603514863,44169.38814644813,17232.43091261644,97444.86065030404,98396.39623308094,298019.43791073887,202796.13529638987,18503.651152225073,46118.40939623455,34945.338907326164,34720.101800858945,73616.51152412148,25582.54682380941,384665.6079683503,78300.50768929509,63096.294062733316,45434.016891262254,59760.38453022865,40592.34241635947,314966.3344517652,120470.44531014886,32428.921834808087,61728.14261115274,376205.44009612553,69672.50902241174,36097.95373272189,47291.344684437405,66941.43962637939,62563.82097633742,100963.79618300524,59764.78376263647,37447.46323314525,67727.51150599273,42677.11501121861,68581.33979456995,1624236.4757267025,96097.54534123486,83177.4735459705,45248.09562094647,52890.218259281486,62374.67823559391,76806.67160224168,945850.2022188623,66159.69853860176,123655.9740424763,64492.36590720869,34711.243538207105,45887.805087207234,77405.28289050813,63746.81786781776
50067.33508339594,39898.860813496096,44169.38814644813,34518.68844520011,97444.86065030404,509765.721638976,86904.85085964622,71922.25446217359,18503.651152225073,37912.529439892205,49602.67013067295,34720.101800858945,75561.12252925924,169000.7756277247,384665.6079683503,62194.79013381821,62871.515933608745,45434.016891262254,56338.294356582075,29945.69283903986,101082.72387297546,51261.3040235753,22146.195085617725,25510.810635013222,41646.24798902513,69672.50902241174,36097.95373272189,47291.344684437405,66883.00594416694,62563.82097633742,85775.77234302742,59764.78376263647,50819.79401466359,107075.85320657419,37182.33442651403,126364.26081183722,122339.27846655225,82165.23042541926,29455.748550600078,42406.55054355106,52890.218259281486,62374.67823559391,76806.67160224168,294169.7796382154,36560.242134246524,45244.197244941446,64492.36590720869,79895.24898072652,34470.93377360054,32419.162632278167,35460.18427750186
50067.33508339594,45383.35060106654,33783.48263277657,15242.457888863011,32816.05751753966,42368.09495695006,41794.89485334384,56695.92374541343,18503.651152225073,297770.23823039903,55061.97071351147,34720.101800858945,29862.264817543153,80824.57566969762,274042.87872178556,62194.79013381821,43824.0109526035,45390.899606692,35938.37234635,29945.69283903986,32517.934156387506,80475.45434377134,27989.900802499764,32910.400839072754,64089.1183809839,52832.11259868667,36097.95373272189,47291.344684437405,34027.43201934894,62563.82097633742,45959.44728222631,56944.84500286497,36648.391206809705,27009.939621210688,39173.2444722582,44638.91493681871,36592.14357351014,59402.186040342305,18862.881001058428,44990.380299590346,52435.665223686585,62374.67823559391,19669.604039561196,38781.994571943345,28053.20933367144,12760.610555345771,41318.0449254433,33920.23927100447,45555.74721559039,31557.087212007453,21362.662933272026
36123.53077986799,28535.28119693052,37621.39374526757,22148.06494496867,27901.824370246304,23634.339981323363,49463.073176118356,73244.86116576266,18503.651152225073,27176.263265691574,92523.45837145706,34701.920106901525,30513.577734339648,60520.34397935938,61461.278804069494,56211.485488011895,43901.10525487959,45332.641508747736,35938.37234635,29945.69283903986,45370.772839794605,80475.45434377134,46636.19061237438,61700.24762000704,78908.48367395259,47846.298409022864,34907.925932698556,46889.16108298928,34746.874344621436,62192.64543412092,45958.95969299095,30749.89385844013,50819.24337130083,56790.74398958761,37853.945250932746,39387.41705574689,38566.94460715876,59402.186040342305,24630.487554069194,47352.632091451356,39377.26975423726,41687.28907635266,19669.604039561196,30018.23756261702,36560.210838926236,22452.58858652713,37175.04314308081,25733.342439931588,45555.74721559039,26444.83940280795,11963.691697420616
26392.03855988654,30532.193145764722,44169.36144770493,23470.415113315878,33595.382638636,26452.974672370572,34780.69108941742,57200.73733643518,18502.703117172256,32220.040126075353,19056.59245016739,34611.7247155526,30111.362815178465,38983.10650445356,38459.082759082885,40808.907700085845,40383.34486514517,45332.641508747736,35938.37234635,29945.546749961763,25215.719690215097,45644.7382019628,23099.809131749633,61364.32844101481,49131.21852751753,52832.11259868667,26891.14949616384,47290.90187516492,43089.63525300003,62561.482589738574,45958.95969299095,43309.861216622056,46987.759097779446,29072.235802371597,38041.51261412822,45018.21962993052,33052.27493083721,59401.70370122262,13771.529040031617,32885.70114125191,41233.62923757506,47448.28992589323,19669.604039561196,82903.7312105025,23218.312198830703,19922.026442940292,31812.360552720664,56402.11406672507,45541.20774123438,24614.712778627705,19675.56283338703
29123.531367491894,49512.25928054172,44033.61288482616,20773.486284724968,28411.06313979537,19229.434759322583,39161.89048769639,59020.30784333619,18502.696317152804,12232.95694029036,24345.445828799766,34611.7247155526,27425.521673146515,46727.78633043974,23092.64785186741,31140.229891585797,26787.025668715876,45274.2871042987,34401.18348550581,29945.52474073079,18955.835030361122,57338.99662804176,23872.780535263755,27520.94421784935,72125.13721798045,44993.64438071458,24942.764309139515,46279.90482197236,65648.11879239553,38628.96535555277,45958.95969299095,50746.052024324345,41913.90721009272,23819.203171538986,26136.631852042745,42418.64361943886,47355.61663143821,44156.53841362659,15976.561556453751,39187.242073937334,30971.823031975073,44882.36920895264,19669.604039561196,32819.09188781801,20742.499260126784,18703.367360455664,33065.204484595226,35093.601031788894,45541.20774123438,31610.48781865394,9039.08347074528
29123.531367491894,27388.648714501025,30706.877396231044,13657.968435499568,26395.83608802074,24329.882012811704,39161.89048769639,59020.30784333619,18538.149994833693,12232.95694029036,24345.445828799766,34701.593286885814,23974.76143850409,36860.54749587352,23092.64785186741,35451.28792691731,26787.025668715876,43737.78846948941,32856.91242762431,31338.79375375781,18955.835030361122,51437.499198698904,23872.780535263755,25194.64108318827,78713.18920106336,29059.918093970162,23614.022619523563,47290.876477565995,41480.826329232616,38628.96535555277,53508.128694815154,22351.787810630194,41913.90721009272,23819.203171538986,26136.620339632296,20987.88755389149,44640.931534704854,44156.53841362659,15910.416503745053,38828.33734045633,30971.823031975073,44882.36920895264,32465.45518933313,32819.09188781801,20742.499260126784,18703.367360455664,23271.867336665182,27672.339093304407,45555.74721559039,12710.030510735829,9039.08347074528
27467.787012700763,19037.4324198091,43143.81943374159,20314.29644825875,23955.325362773467,14197.916168991194,34044.563838323724,45776.26680351114,16259.262237513582,12071.27007284022,24345.445828799766,33989.121541311455,15769.140691811786,43538.003349769875,23092.64785186741,22619.696557669005,26787.025668715876,30510.933105017302,35699.069328050056,31338.79375375781,18955.835030361122,46321.067719521445,23872.674457817026,27520.94421784935,45469.72053265669,43574.293733608516,23614.022619523563,45164.10447857128,47736.77593220679,38628.862703466984,50491.33193764858,29540.75356957998,24782.137914129937,23819.203171538986,26136.57871002491,20949.593363106695,30035.751031024876,39875.7131499917,15976.561556453751,36304.82758782479,28666.36145757653,26355.418484357135,32512.796607480443,32819.09188781801,20742.499260126784,18703.367360455664,30991.15602752652,27672.339093304407,30683.2942370651,12710.030510735829,8944.293319954075
23551.570110734196,53694.74610245988,19243.496013405187,20314.227134385987,22768.694711074124,5336.898807763052,35663.28897044265,43683.31788864085,18538.149994833693,12071.27007284022,24294.136141098716,34701.526372139335,25977.746543704565,43341.21275880715,23092.64785186741,38175.00951524071,22046.224275116943,42617.32595249807,31170.941257007238,31338.79375375781,18890.989203647954,40106.95877943194,23872.674457817026,26245.433851047226,66052.79575094033,43445.93743654623,23614.022619523563,38116.019716577146,58470.38969981316,38627.37717472337,42010.74447025088,19518.91020346263,20533.046909366698,23819.173424991164,26037.97525146855,20429.529215228897,37699.43820571111,35575.22963096165,15976.561556453751,38827.91675308377,28682.35435333038,30964.24470920858,8627.805534066498,22085.338026804202,20742.499260126784,14907.479213338935,24649.636308707275,26824.670243866985,37548.24022526469,12709.150467940972,8944.293319954075
26587.437439545778,16186.807798465412,28308.780674738104,17300.635165379263,27397.254728589247,24329.882012811704,35663.28897044265,34284.29413363487,10946.647047762748,11808.885987776448,17097.336605730346,30360.40353060512,22154.778230284675,43323.44593132357,23092.64785186741,19808.187809154166,26699.458016759723,42296.42530803616,35260.15554135182,28817.38556791265,18886.35300155517,33959.46352368857,18669.37855383215,17306.577114271568,51213.089508530764,43970.311212425586,23614.022619523563,41696.02748199162,40848.67381583064,36623.068857205355,37895.587679072814,21819.049345863412,19549.668661195927,19878.340594432702,25202.681266256186,15385.522769104566,18998.660437604365,34589.62817549598,14395.72872976819,38827.91675308377,23410.582500339,25568.288842916998,8627.805534066498,30659.912269753895,20742.499260126784,15111.074878269063,25822.579237321104,27672.318280532134,33864.34435836107,12025.00951884023,8944.293319954075
