F262017-100-0,F262017-100-1,F262017-100-2,F262017-100-3,F262017-100-4,F262017-100-5,F262017-100-6,F262017-100-7,F262017-100-8,F262017-100-9,F262017-100-10,F262017-100-11,F262017-100-12,F262017-100-13,F262017-100-14,F262017-100-15,F262017-100-16,F262017-100-17,F262017-100-18,F262017-100-19,F262017-100-20,F262017-100-21,F262017-100-22,F262017-100-23,F262017-100-24,F262017-100-25,F262017-100-26,F262017-100-27,F262017-100-28,F262017-100-29,F262017-100-30,F262017-100-31,F262017-100-32,F262017-100-33,F262017-100-34,F262017-100-35,F262017-100-36,F262017-100-37,F262017-100-38,F262017-100-39,F262017-100-40,F262017-100-41,F262017-100-42,F262017-100-43,F262017-100-44,F262017-100-45,F262017-100-46,F262017-100-47,F262017-100-48,F262017-100-49,F262017-100-50
15059.890699275064,13609.81598938205,11817.859560038214,13585.104241620013,14123.174836938317,13903.335388253596,14024.960585606486,13471.741674615023,13168.76757116945,12415.020144636226,12913.146178067596,15263.114868562006,13684.581473577262,13824.925759448632,15446.789097145322,13070.989757931997,12757.59668830619,16809.039527918812,13107.95072202069,14120.07803398648,13806.817384579495,14106.164808592868,14124.622024337456,10743.470451743542,16321.85425093105,12468.935551873381,13907.709129314117,14492.10204855881,14600.335389766267,11759.576249682656,14590.06651777573,15935.980701951481,14142.334361213912,15137.597166871657,13850.433792824828,15373.482973538843,12180.633145330432,15568.13528344504,11943.005551429533,13262.857024867473,14507.271425788209,11602.930222243813,17248.24673078584,14633.662154769414,14729.55051477634,16343.135935842143,11971.637376446155,14024.458012441593,11561.356489597834,15497.715110954621,12978.069277404136
12545.551822692238,9920.782538057581,11648.529557513893,12349.135347712287,11821.751514178022,12923.810806496862,13854.524399665288,10622.943112501176,12623.16555103855,11080.369346881946,11087.921316735863,12651.34649459843,10921.092610917567,11988.456607559685,14328.956054027594,12640.844182872863,12742.344734840231,12119.05311868853,12262.6171169049,12987.086350390242,13708.883339837648,13712.353597390189,12937.39827283999,10743.470451743542,15096.914973897306,12452.17122056,13079.262419755487,11927.6744494403,13363.760269753264,10556.936889282251,13728.084931992073,14849.619160521952,12116.347185742245,14003.206557783607,12286.32156385734,14375.586622353429,10986.965562883572,10692.880625431982,11297.782668808142,12733.472219954565,14032.002242997887,11484.029436284338,14159.686305714278,11512.47700873118,12699.909376506735,15027.633606032436,10431.258827066904,13317.22103139123,10763.701970006157,12414.95013383085,12573.578118322648
12129.10156550714,9884.459211935635,11197.846228969262,11933.220215777641,11275.537353774389,12217.111708494054,13303.493634906346,9815.467688625726,11228.315502040074,10234.999572462222,9570.121945632556,11956.891591028925,10704.976302942912,11973.703755852308,13014.882556371798,10405.163980212048,11756.890779603766,11588.66436238548,12262.6171169049,10758.640089268856,12985.431740300954,13220.633439447967,9391.064260744264,10195.006818818512,11857.101736648281,12334.350627434045,11908.476735962924,11082.828674156719,13174.486434373759,9522.468738326254,11270.531171736977,13947.448993011432,12116.347185742245,13318.080266147663,11862.599982012547,13121.916146193165,10140.18593079047,9286.771403532552,10276.895254289522,11665.717834774021,13506.994278823284,11057.84758512803,14071.943270957736,10305.36934649402,12321.712028892527,13909.821548617041,10284.70800757133,12485.977850600468,10223.241990506769,10632.639941966614,11237.016718357037
12129.10156550714,9566.440740847927,10867.841930936122,11867.828038367117,11136.510025463409,11469.635668551877,12388.670745813062,9694.935775044756,10630.479125738484,10227.749355151434,9570.121945632556,10576.659516193686,9926.900300944993,11906.226905906411,13014.882556371798,10199.998033199101,11681.566085919178,10586.842689107407,12147.741098604021,10758.640089268856,12473.06703714476,12769.15795318719,8839.022562628757,10195.006818818512,11857.101736648281,10967.004053970062,10321.705314142731,10779.187710299062,12233.940310471933,9522.468738326254,10335.510267954005,11971.106978298918,11779.155121120162,12933.123368850209,11122.190446729079,12755.222196014929,10140.18593079047,9152.216664467009,10022.264618299556,10714.845789182535,12393.552878475692,10968.302411547376,12991.788034486233,9642.5365608209,11570.281394363083,13702.804739899577,10234.415829023306,12254.064645039083,10223.241990506769,10325.218171002962,10635.951167375517
12129.10156550714,9466.292971831983,10787.268873213718,11497.782329736692,10867.41823775226,11409.739476446786,12195.945154732213,8333.274165368235,10431.30837353852,10227.749355151434,9288.808755400714,9670.849248648108,9926.900300944993,11121.55728402848,12509.72148721892,10006.784130321692,11274.42058987938,9608.177080979644,11731.24709849597,10758.640089268856,12473.06703714476,12653.006353714625,8534.638317452776,9731.608644935124,11550.021451358502,10817.05421957976,9926.762626233369,10612.70450723009,11927.477162720952,9522.468738326254,10028.454616590443,10956.31927385425,11779.155121120162,12312.156220563218,11071.316986188089,12604.019089701176,9703.61875074854,9049.691476022299,9688.10654249191,10304.84142689564,12393.552878475692,10829.967506964038,12151.943543127476,9405.079818133469,11486.763938504748,12687.264233026432,9272.218564603216,11267.7913580457,10049.04866566059,9444.452627354509,10385.499360370464
11419.049319219868,9326.198420059543,10472.906350117719,11352.382980996294,10826.111974564235,10862.177646698017,12174.6238096638,8333.274165368235,9847.416373471511,10227.749355151434,8646.271055053692,9670.849248648108,9742.31226921827,10852.011268358183,12077.152382672539,10006.784130321692,10900.465304964762,9045.332113535846,10849.41981576675,10758.640089268856,12126.885996841193,12323.36991028499,8534.638317452776,9658.573397238168,11085.158400911001,10416.870314664899,9643.465312934773,10612.70450723009,11560.771122195616,9429.716916904128,9776.347576696004,10411.404375778042,11779.155121120162,12312.156220563218,10475.681541789541,12331.833785451292,9688.118915586154,9049.691476022299,9571.895920664792,9564.528771766656,11792.669036291089,10659.432477447275,11970.77666165464,9405.079818133469,11066.11248875133,12624.837869812984,9272.218564603216,11208.62379939386,9770.111413300796,9444.452627354509,10385.499360370464
10926.691339262743,9315.6562003449,9725.939868358753,11351.910181847263,10797.787294326938,10526.305670620564,11692.47285881021,7959.710846685627,7768.146567597615,10227.749355151434,8413.508607236592,9670.849248648108,9439.347792375276,10710.454315913008,11254.364920745893,10006.784130321692,10474.441155560755,9045.332113535846,10757.436762863243,10567.677505679218,11834.152002683288,12323.36991028499,8416.005255367761,9288.284155310077,10695.846721222328,10052.21469878013,9457.369478525765,10113.338623345113,11352.7653951836,9358.06928305671,9548.542053297748,10277.078265313243,11748.08046515864,11837.818355145224,10230.83008865737,10960.867924942677,9214.83795743432,8909.065929174489,9534.50167555172,9441.383596025833,10452.484751665583,10375.754902316246,11726.996509532713,9405.079818133469,10433.665771253658,11316.391471196492,9174.556272961987,11091.686458597484,9709.702243423155,9444.452627354509,10061.964691462746
10881.592597294764,9306.42454618511,9725.939868358753,11005.354544279004,10732.042151201895,10526.305670620564,11666.645198812532,7937.961667529382,7768.146567597615,9987.48627218037,8104.7930021891825,9670.849248648108,9366.436154885763,10395.35557447602,11024.440405752242,9684.158016823421,10176.005497275786,8780.825519922986,10248.241712376052,10087.73965085151,11289.123218888437,11691.054075143797,8173.768765973645,9117.569464015247,9979.718381249117,10052.21469878013,9292.440968126539,9895.825541101065,11078.351918864511,8872.197855319622,9548.542053297748,10277.078265313243,11721.6506557086,10647.759009268451,9986.849216628061,10773.516592950302,8756.97600323146,8737.924864792965,9534.50167555172,8491.232460701032,10171.937742074595,10040.567293998927,11296.57096243957,9398.631457268937,10429.373491419105,10921.54950039192,9174.556272961987,10414.246866383812,9709.702243423155,9379.600380744207,10061.964691462746
10461.36183052755,9179.377731627901,9681.104630173908,10932.651074660027,10394.395333105842,10313.551035145816,11478.306340423604,7937.961667529382,7768.146567597615,9864.3256446511,8015.997892459105,9670.795728095116,9285.784609600274,10305.410306592092,10803.815758441786,9412.968475174011,9939.509299701733,8775.63073042658,10205.903611543683,10083.61318005365,11289.123218888437,11670.619059820421,8173.768765973645,9097.250203041483,9979.718381249117,9435.678560764645,9292.440968126539,9618.61001391795,10413.966284538543,8799.978795887313,9525.75248003909,10277.078265313243,11642.640329762446,10188.187918945103,9776.583625311654,10752.275317703028,7697.980952658265,8525.91661093949,9493.521998259452,8452.612868649185,9383.450064889334,9951.649240198323,10511.58571818253,9077.824470293843,10149.097000752958,10921.03794382432,8782.22011910836,10145.159868709243,9461.207024017524,9342.556680181206,9782.624247189811
9900.669665698551,9052.37830954694,9675.787802792602,10322.442845218593,9507.031387866868,9993.221645205092,11473.681965181684,7930.178593748671,7282.50375620853,9611.924872870517,7589.484542527642,9670.795728095116,9281.406485518843,9457.180691664707,10768.780464576008,9118.649743385718,9809.984957028457,8775.63073042658,10205.903611543683,10081.254632515062,11289.123218888437,11331.843173613983,8083.246545090146,9015.515003183624,9855.031266412578,9261.265636286991,9282.78189752095,9241.326381071849,9809.543308337354,8178.270592989345,9525.75248003909,10144.863810042396,11318.170611904265,10188.187918945103,9452.795858661539,10546.962623175543,7697.980952658265,8443.48404043707,9462.296180342455,8117.052446150816,9383.450064889334,9720.623251351968,10137.49085014782,9076.870843408306,9999.255245791963,9805.682848139691,8697.564716045299,10145.159868709243,9229.99775076746,9288.22355118913,9602.037084893956
9196.844088105085,8993.149457658366,9469.382046013468,9912.629202375836,8951.588692206587,9628.236315175058,10935.783780221796,7855.932803141506,6788.668084588923,9400.767059917518,6921.570475930412,9670.795728095116,8837.985073712047,9404.993779671167,10295.055031824133,9115.194462485935,9392.681302615318,8700.546375026377,10126.382033878446,10061.870110426004,10894.30526683643,11237.064419366301,8001.061899845292,9015.515003183624,9727.36181547158,9261.265636286991,9245.471949768145,9241.326381071849,9149.215304344678,8157.024521437844,9344.781579038645,10059.353181386829,11318.170611904265,10056.765901263918,9277.2367668845,10546.962623175543,7693.30126313204,8314.279020281529,8594.21645597881,8083.096258861305,9383.450064889334,9613.59481678941,9938.077034134869,8984.458564870307,9335.479414419506,9593.154211783218,8697.564716045299,9746.433491789236,9229.99775076746,9256.79595976196,9567.00558500208
9176.037102846618,8681.043641593802,9333.608791850498,9441.011204362,8749.99301799454,9344.62179871372,10661.86270871009,7806.9863393177275,6724.238984641679,9302.658926661206,6921.570475930412,9630.703047480289,8837.985073712047,9270.94748813211,10295.055031824133,8947.168082467473,9377.399836016773,8532.263394019392,10101.528646516508,9911.082585986987,10527.158663080874,11168.533596994861,8001.061899845292,9015.515003183624,9317.614929532378,9261.265636286991,9202.868940462935,9191.759278499194,9149.215304344678,8105.339568552287,9290.261573406571,9819.053194862772,10493.771249058162,10023.758965463516,8910.599406193141,10508.241706045115,7648.960619451389,7999.380620688582,8594.21645597881,8022.619518279649,9354.36540877528,9278.89906847847,9938.077034134869,8910.625397216678,9335.479414419506,9593.154211783218,8697.564716045299,9396.065549700712,9229.99775076746,9245.902200269575,9405.807261765374
9172.303865420488,8535.6158455413,9328.005869718001,8751.458094134625,8749.99301799454,9344.62179871372,10661.86270871009,7469.075415454371,6583.331444074096,9302.518425332764,6792.5533473033265,9193.076496729194,8837.985073712047,9221.7446107951,10209.84329158855,8889.033572786393,9377.399836016773,8532.263394019392,9953.958002631798,9898.229161501957,10415.61329382296,10949.092129001334,8001.061899845292,9015.515003183624,9099.939068218308,9237.92785652912,8955.572078707162,8960.081220996162,8671.4518655403,8105.339568552287,9275.505695953198,9819.053194862772,10465.09122446932,9627.206542873282,8686.435828007166,10473.49303425857,7588.7249214295925,7515.097608368909,8488.177888608461,7849.290133088442,9128.293085546393,9243.487435576008,9614.912032189979,8809.519701558991,9335.479414419506,9303.257212175624,8697.564716045299,9392.159118575899,9229.99775076746,9224.705895980605,9027.103117804516
