F162017-50-0,F162017-50-1,F162017-50-2,F162017-50-3,F162017-50-4,F162017-50-5,F162017-50-6,F162017-50-7,F162017-50-8,F162017-50-9,F162017-50-10,F162017-50-11,F162017-50-12,F162017-50-13,F162017-50-14,F162017-50-15,F162017-50-16,F162017-50-17,F162017-50-18,F162017-50-19,F162017-50-20,F162017-50-21,F162017-50-22,F162017-50-23,F162017-50-24,F162017-50-25,F162017-50-26,F162017-50-27,F162017-50-28,F162017-50-29,F162017-50-30,F162017-50-31,F162017-50-32,F162017-50-33,F162017-50-34,F162017-50-35,F162017-50-36,F162017-50-37,F162017-50-38,F162017-50-39,F162017-50-40,F162017-50-41,F162017-50-42,F162017-50-43,F162017-50-44,F162017-50-45,F162017-50-46,F162017-50-47,F162017-50-48,F162017-50-49,F162017-50-50
921309231952158.9,1.3464703056328842e+16,611673114267741.5,1684066050493057.2,1072458808413082.0,958997070996380.0,484256888099607.7,2191611378644012.2,2295274195642816.0,1.3943197786324134e+16,5578269154360700.0,1578021086807543.2,1735876908538488.8,2766454957837092.0,2026398144968541.5,1983794987573203.0,2106885112221502.0,1610671807727434.5,3359101051785674.5,286363200939784.94,1041781833159823.9,104014036517147.64,88680497837162.95,3833796112794692.0,462103776814297.0,3865907373645567.5,2831130430381514.5,3059433663893228.5,1918830401920870.5,591549162122923.8,1014572477662513.9,5418971081743693.0,1832664151881529.8,1097815771404307.6,1808813419882708.5,1759598721286522.0,342682816939642.75,400975146303471.5,1323643533361643.5,3436646252297627.0,60221400701883.94,8254941590468990.0,202358151700866.38,649912014035274.4,3393919056631946.0,4765418134780483.0,2765021099641116.0,26660321922319.23,5299026221640470.0,394567758983197.44,5197883305531538.0
261535836026714.7,340697086968065.94,385575007446790.9,496455973932756.6,1072458808413082.0,483836507172774.06,484256888099607.7,1978025846568771.2,2295274195642816.0,817200830729631.0,2411787387299623.5,1266319137160037.5,959932634760105.5,2766454957837092.0,427448536238601.0,664978161164881.9,1161271055115675.0,404167719776063.56,2861252308504760.0,286363200939784.94,1041781833159823.9,104014036517147.64,88680497837162.95,143240740307037.47,462103776814297.0,3865907373645567.5,910561614189677.0,325748034605831.75,1918830401920870.5,591549162122923.8,21832723386282.99,1415630142477027.0,1223072196731070.0,283689068497093.94,1808813419882708.5,1759598721286522.0,342682816939642.75,124476816718736.27,1323643533361643.5,2423351008899479.0,60221400701883.94,5064378605451645.0,155540450095981.22,127342711976460.12,451174545766032.56,486555540791758.75,2765021099641116.0,26660321922319.23,579971194063931.0,394567758983197.44,4359794285586680.5
261535836026714.7,340697086968065.94,385575007446790.9,496455973932756.6,150090231498421.8,483836507172774.06,382277796029431.3,952674946008468.0,446992291658278.2,421488005584552.6,1757678145859362.2,740081183966094.0,959932634760105.5,923814335758648.0,427448536238601.0,218145976357200.66,1161271055115675.0,388453107265133.1,1783757553186966.2,90179521789055.89,1041781833159823.9,104014036517147.64,88680497837162.95,16451622433030.877,462103776814297.0,3720239712975078.0,910561614189677.0,325748034605831.75,1918830401920870.5,588884180610498.4,21832723386282.99,219216634731187.9,349720137069341.1,283689068497093.94,214480230110539.84,857484895071550.0,342682816939642.75,124476816718736.27,376733972647214.44,346482649003276.25,60221400701883.94,1137476370527176.8,155540450095981.22,127342711976460.12,137970630867277.78,213117554826839.7,1021638338774098.6,26660321922319.23,579971194063931.0,394567758983197.44,493489299941814.06
261535836026714.7,340697086968065.94,186886262631953.25,56970921443323.03,150090231498421.8,17955297204911.746,382277796029431.3,18832605862035.375,446992291658278.2,421488005584552.6,233315126990681.53,740081183966094.0,621333200304399.1,198998381530515.8,62879948045033.42,218145976357200.66,973077314422652.4,388453107265133.1,1783757553186966.2,90179521789055.89,571461173127689.5,104014036517147.64,88680497837162.95,16451622433030.877,220994058704437.12,1484751158182942.2,468333795337451.8,325748034605831.75,653539019341238.8,124866240663227.47,21832723386282.99,177110853845688.66,196896618871095.16,101093277173220.75,214480230110539.84,126906062798030.52,342682816939642.75,5154225075247.849,109716174255196.6,346482649003276.25,60221400701883.94,833949874598173.9,155540450095981.22,127342711976460.12,137970630867277.78,213117554826839.7,933242086737759.6,26660321922319.23,579971194063931.0,188972231838625.6,237089682204264.34
38206105266779.54,340697086968065.94,65804945151193.85,56970921443323.03,46213995814721.37,17955297204911.746,347670719081539.4,18832605862035.375,446992291658278.2,67100830310493.09,188371540986458.5,270913891900870.25,29877389981346.098,94208150929459.16,3840649112330.8076,18936092869075.31,401128404078278.44,388453107265133.1,727249791463890.2,90179521789055.89,571461173127689.5,104014036517147.64,88680497837162.95,16451622433030.877,220994058704437.12,1259227967314116.2,178101086159141.0,14629328988565.88,653539019341238.8,124866240663227.47,21832723386282.99,69311932874279.32,196896618871095.16,41160198781417.17,69656935078901.71,126906062798030.52,273222794380139.1,5154225075247.849,109716174255196.6,58600906877501.97,60221400701883.94,18038151771535.5,10891885965829.244,39693046798154.61,137970630867277.78,35220293847541.79,863874313272544.6,26660321922319.23,89205584518454.53,183275472089008.75,93342695090620.69
27995970126812.707,340697086968065.94,65804945151193.85,56970921443323.03,26810711816797.145,17955297204911.746,42901974155744.33,18832605862035.375,124507472611047.22,53301194156615.38,139348256177823.88,270913891900870.25,25243079515648.605,94208150929459.16,3840649112330.8076,10564629713514.445,276433341220755.7,84028746461648.48,53540318591776.9,54626743726768.19,519425705157013.5,36553499145959.875,68094056981055.05,16451622433030.877,127243931546696.05,876776619170162.4,85213374945941.9,14629328988565.88,27366381563065.92,124866240663227.47,12134466682771.623,40386277496545.266,20305561828362.844,41160198781417.17,69656935078901.71,71119206563130.56,150888751347061.12,5154225075247.849,109716174255196.6,58600906877501.97,60221400701883.94,3155543999682.37,10891885965829.244,39693046798154.61,137970630867277.78,25472631406748.086,424144316150817.06,26660321922319.23,89205584518454.53,41246682970793.766,93342695090620.69
27995970126812.707,239999993115478.72,11838152467568.37,33045854823860.367,26810711816797.145,17955297204911.746,42901974155744.33,18832605862035.375,69534062273133.79,53301194156615.38,139348256177823.88,252895406858514.66,25243079515648.605,94208150929459.16,3840649112330.8076,10564629713514.445,206459703547850.97,84028746461648.48,53540318591776.9,54626743726768.19,26360490489601.36,36553499145959.875,68094056981055.05,16451622433030.877,127243931546696.05,285542733458967.0,43414789662012.086,14629328988565.88,27366381563065.92,64459604916929.05,12134466682771.623,40386277496545.266,20305561828362.844,7043132642426.116,69656935078901.71,45928354210428.23,52221091590458.7,5154225075247.849,109716174255196.6,12189684167135.412,60221400701883.94,3155543999682.37,10891885965829.244,39693046798154.61,137970630867277.78,25472631406748.086,139857001906064.12,23136220265594.195,44663069682211.56,41246682970793.766,43752626097063.56
14237492398715.295,20207022015971.406,2862177453166.916,14607007980720.438,26810711816797.145,17955297204911.746,42901974155744.33,18832605862035.375,69534062273133.79,33975380139988.43,12859855363053.664,39559782756329.55,25243079515648.605,29006472380353.832,527745954084.7954,10564629713514.445,54981605584457.31,34046084002632.477,53540318591776.9,24402711699601.812,26360490489601.36,36553499145959.875,59309276279405.46,16451622433030.877,42528975781902.305,181522861838985.34,13960621675322.256,14629328988565.88,27366381563065.92,56326849796858.01,12134466682771.623,40386277496545.266,20305561828362.844,7043132642426.116,49704388516506.21,15341302694053.945,18137721676947.754,5154225075247.849,7119478069764.325,11450110679327.994,55487499310842.91,3155543999682.37,10891885965829.244,32321387471667.094,137970630867277.78,11058865102884.854,139857001906064.12,21127513764286.01,20029945038134.047,15422686210200.6,42936193282085.14
14237492398715.295,20207022015971.406,2862177453166.916,14607007980720.438,26810711816797.145,11215129553253.443,42901974155744.33,18832605862035.375,65594702286186.45,33975380139988.43,12859855363053.664,39559782756329.55,4422079543268.197,24435619197299.08,527745954084.7954,10564629713514.445,54981605584457.31,26130202813825.742,40444794032006.35,5348734421671.161,21556554971859.734,22694263430278.664,59309276279405.46,2519584350774.7236,42528975781902.305,181522861838985.34,13960621675322.256,14629328988565.88,27366381563065.92,56326849796858.01,9069713780530.543,40386277496545.266,15437677460692.764,7043132642426.116,49704388516506.21,15341302694053.945,14273575635639.508,5154225075247.849,7119478069764.325,9349507087167.486,18576934861285.344,1429538135752.4336,10891885965829.244,14289507264941.104,98219852002197.3,3594455306863.417,27741559393340.49,6332789810508.464,20029945038134.047,15422686210200.6,26526349434060.707
14237492398715.295,20207022015971.406,2862177453166.916,14607007980720.438,4703167118397.35,11215129553253.443,2715278561111.7896,18832605862035.375,4720538609043.095,33975380139988.43,12859855363053.664,27556268282960.47,4422079543268.197,18075315362707.31,527745954084.7954,7419616617491.684,31481558549953.7,26130202813825.742,40444794032006.35,4419406351831.48,1122657235856.9214,6900362675792.385,13049896533517.865,2519584350774.7236,19139431628239.57,18251385747812.723,2784969334307.0073,1644061646952.76,18777756921053.418,9670337826073.035,9069713780530.543,3659876326562.155,15437677460692.764,6277015774355.407,49704388516506.21,15341302694053.945,14273575635639.508,3833529454533.71,7119478069764.325,5583808315943.26,18576934861285.344,1429538135752.4336,10891885965829.244,9875379131109.717,46070967151424.484,3594455306863.417,947469322352.8955,2051680213194.8618,20029945038134.047,1054638890785.0149,4841430455852.509
