F272017-100-0,F272017-100-1,F272017-100-2,F272017-100-3,F272017-100-4,F272017-100-5,F272017-100-6,F272017-100-7,F272017-100-8,F272017-100-9,F272017-100-10,F272017-100-11,F272017-100-12,F272017-100-13,F272017-100-14,F272017-100-15,F272017-100-16,F272017-100-17,F272017-100-18,F272017-100-19,F272017-100-20,F272017-100-21,F272017-100-22,F272017-100-23,F272017-100-24,F272017-100-25,F272017-100-26,F272017-100-27,F272017-100-28,F272017-100-29,F272017-100-30,F272017-100-31,F272017-100-32,F272017-100-33,F272017-100-34,F272017-100-35,F272017-100-36,F272017-100-37,F272017-100-38,F272017-100-39,F272017-100-40,F272017-100-41,F272017-100-42,F272017-100-43,F272017-100-44,F272017-100-45,F272017-100-46,F272017-100-47,F272017-100-48,F272017-100-49,F272017-100-50
67139.01287059893,55373.49885431959,39402.30738744341,55155.14381071539,58471.37881165346,65794.66809651259,59046.04471345231,56906.12270740458,75191.11639415842,66300.2688777206,64274.873920866725,59071.043404914875,41463.325320671036,73513.0300378297,46356.99396246869,68033.62586251699,68062.02562707415,63844.204134867265,60511.097629676246,65414.76111250255,58998.75008881838,68256.6500435591,56533.47724137906,61636.93090037518,58081.14752539048,71617.78801239422,48850.32091703675,63097.63102290103,60778.1398640337,70377.1115682268,60145.249133669044,50655.6894703655,65259.92445021566,60168.30381628037,50882.43022666779,84387.8713032902,61865.21818426586,77515.3243588842,59768.992641912286,59821.84117517568,53360.30622147003,61268.630981500406,54424.92734019887,49119.906768384055,67324.78233394487,68232.4235901516,65434.880009712004,41903.09237119512,54473.95513309213,46355.92492280137,61699.187925964165
55261.538748421466,55373.49885431959,39402.30738744341,46887.49886159863,47711.523338304985,57631.006309847195,48879.56223877715,56906.12270740458,73551.56582374033,49941.98981158363,57232.207565478864,59071.043404914875,41463.325320671036,58079.10965821563,46356.99396246869,59242.107178538456,55907.622617727684,54673.95049069739,60219.51191961809,61866.566807837036,58998.75008881838,65619.90156689173,47060.72838623312,53881.52395507018,56540.709233446694,64741.17336669968,47646.98426778119,56105.02687923375,60778.1398640337,57539.23674702581,55869.47479729087,50655.6894703655,65259.92445021566,58217.462658868135,50882.43022666779,67463.37006518667,60598.93525601851,72356.30471903097,46780.14169029542,55389.16055573483,41285.3992869266,61268.630981500406,49939.528627705986,49119.906768384055,61660.09424646461,51763.78343831806,60759.829445085554,41903.09237119512,54473.95513309213,46355.92492280137,50475.77766077291
54037.76392887502,50904.36072448158,39402.30738744341,46887.49886159863,38919.11967088085,57631.006309847195,48879.56223877715,52208.05677345501,68887.44266675235,49941.98981158363,57232.207565478864,49435.92255800808,40312.96790287268,50446.44315768666,46356.99396246869,53149.82230926907,45236.34109641601,45413.2393254009,48803.745886859004,59487.98513317847,55905.71992236963,62508.846965128694,47060.72838623312,50884.859914023706,48044.64871927182,54539.97822247945,47347.13071705841,55175.147009753906,47159.579208616204,49024.86110155851,44660.14152049508,45117.10198556141,58248.60648757269,49714.13932665878,50882.43022666779,61072.56600460248,60598.93525601851,64013.58220447662,46780.14169029542,52180.165378318976,41285.3992869266,61268.630981500406,48623.314412171654,47539.76003534343,46753.6002377983,51763.78343831806,54292.47224076536,41903.09237119512,54473.95513309213,46355.92492280137,43138.07719071171
51711.24900979928,42398.84308402021,39399.55691494481,36786.44338791411,38919.11967088085,57592.63775101208,48879.56223877715,41409.84349402265,49745.68121759735,40136.90580828674,53490.961077227366,49435.92255800808,40312.96790287268,44582.8010930034,46356.99396246869,42353.02620599491,45236.34109641601,45413.2393254009,48803.745886859004,42680.98297344396,55640.360747635284,51545.77848983058,47060.72838623312,49924.250464604374,48044.64871927182,54539.97822247945,47347.13071705841,44003.28160349316,47159.579208616204,49024.86110155851,44660.14152049508,45117.10198556141,50961.43682514773,42125.33989570639,38251.79573326755,55575.08996725427,60558.80619033838,49731.504319314714,46780.14169029542,52180.165378318976,41285.3992869266,47064.259851515046,46929.13684497913,47539.76003534343,46753.6002377983,51763.78343831806,49186.75390371122,36805.64220036264,54473.95513309213,44481.285520783604,43138.07719071171
39290.53561923716,42398.84308402021,34879.17882080885,36786.44338791411,38919.11967088085,54203.75148022704,43009.52709832606,41409.84349402265,49745.68121759735,40136.90580828674,52169.25855439995,49435.92255800808,40312.96790287268,44582.8010930034,46356.99396246869,39424.89085347689,44454.000725568025,44775.11809477786,41821.13568655906,42680.98297344396,45941.3788441322,45386.827927813254,45036.746702814366,46277.4208882096,47707.25240769464,49258.20987091987,46653.616910907884,39808.62789946091,47159.579208616204,41785.69022681667,44660.14152049508,44232.32052272475,49848.62349946733,34751.245837929695,38251.79573326755,50454.34334686017,54199.860013682206,47282.610862176276,46780.14169029542,47808.33173614768,41285.3992869266,47011.55708347645,46929.13684497913,34083.13599396176,46753.6002377983,49626.69020959828,46675.3994408857,36805.64220036264,43262.61047581145,43587.56619900648,43138.07719071171
39290.53561923716,35765.055101496015,34879.17882080885,36786.44338791411,38919.11967088085,44058.90485275816,43009.52709832606,41409.84349402265,46019.472587373515,40136.90580828674,49348.2634118899,48716.46231631006,40112.93199662437,44582.8010930034,44120.29595758761,37375.295939359785,44454.000725568025,39305.169124794316,41821.13568655906,42680.98297344396,38777.05252710721,45386.827927813254,40745.075642371565,46277.4208882096,45940.908111019686,49258.20987091987,45336.610936328965,39808.62789946091,39899.48966669736,41056.84385433078,44660.14152049508,39831.11873952331,44922.306613997804,33251.00773906302,38251.79573326755,50454.34334686017,53245.99346364188,47282.610862176276,43795.444239253695,40356.4464778962,29443.174363356684,47011.55708347645,44136.109391919425,34083.13599396176,45922.24795169389,45680.46837755779,46172.940595528264,35823.09674697887,37214.648180297954,31885.87595213644,36896.46349610135
39290.53561923716,35765.055101496015,30563.73276653793,35696.978037727895,38919.11967088085,44058.90485275816,43009.52709832606,41345.06995008538,45084.23116076132,33793.46779060947,45043.76465162405,41821.066681496675,37509.466981103484,43593.13378010419,39553.39718360901,37046.09393778248,43532.0898710679,39305.169124794316,38423.35098012429,38981.486552663766,36957.98871362289,40549.26672899444,40745.075642371565,33313.9576863106,43028.82080884671,44454.84250090019,38208.18450954684,39808.62789946091,32097.39669526582,40893.91302414386,38794.31243843963,39831.11873952331,44025.24812052866,33251.00773906302,36559.589160240525,49043.240772378995,40176.28961810064,47282.610862176276,43795.444239253695,34833.601036247645,29443.174363356684,43378.20713374722,43781.51189910028,33528.963818660006,38721.51133957861,39128.398346094385,40611.87449116856,35823.09674697887,37214.648180297954,31401.813701469695,35211.88694206734
39290.53561923716,35765.055101496015,30563.73276653793,35308.38902385494,30541.34494942851,35774.6883070135,33019.17499666379,37878.75655474853,38169.08383971119,33793.46779060947,43707.93663932498,41821.066681496675,35443.67824945819,41626.82868111391,35506.4614167447,31494.69629403748,38040.36739694982,35749.53323120163,37475.61567601204,38981.486552663766,32753.66468842739,37784.11471835702,36586.5151214939,33313.9576863106,35203.71409747483,38030.63269211748,36674.992844075125,35192.94869127573,32097.39669526582,40893.91302414386,37635.77393485948,29440.818735917186,42492.91863044021,32088.45464488987,33089.29027850207,43508.780143408636,40176.28961810064,38545.29271568058,37479.18144677011,34833.601036247645,29443.174363356684,32841.02751276798,39198.329118401016,33528.963818660006,38012.67825259503,39128.398346094385,38687.391729527735,29631.727997440677,37214.648180297954,31401.813701469695,29795.679348992453
35665.12638288735,35765.055101496015,30563.73276653793,35308.38902385494,30019.396601384433,31648.864616284765,33019.17499666379,37808.786217824934,38169.08383971119,29777.268186320023,36923.36741162896,37335.536441488766,32482.449931853633,38507.10962411349,33326.057204033525,31443.045697592235,38040.36739694982,35749.53323120163,37475.61567601204,37642.26270736993,32703.06468501331,36453.78622976933,33110.285469678005,29113.319402407724,34898.56256244292,37759.68516571702,32731.396750500495,31261.81959710686,29788.990731598216,35285.38527868867,33936.84207591576,29440.818735917186,29469.386137281475,26129.122869818602,29035.60836932531,43126.93225640414,40176.28961810064,38545.29271568058,30561.59043621516,34661.31128416868,28218.41512022336,32841.02751276798,35230.68399049874,30584.466409106713,35637.32411481189,37088.26556360646,37277.92107909721,29631.727997440677,34068.126898358896,30310.435057750445,29795.679348992453
35529.28854345437,33575.99759999255,30563.73276653793,29639.485034704467,26264.618924591676,31648.864616284765,28335.940195747666,36277.78736908071,34025.25563930694,29777.268186320023,34783.70722330193,34335.48250785429,30524.46065235846,37954.27102597798,29209.18734001629,30818.804956968306,36867.465563054786,30546.723006888813,37475.61567601204,35953.293813252145,32703.06468501331,35919.01598797895,31064.54642751282,29113.319402407724,27049.762577566453,37322.454041533645,30842.338958034343,31261.81959710686,29788.990731598216,26015.37528868043,33936.84207591576,25562.383162734717,29469.386137281475,26129.122869818602,24830.47796374196,40471.1224599024,40176.28961810064,38545.29271568058,30561.59043621516,30948.595343398145,25500.43019029453,28987.01259224356,34683.05707891346,30584.466409106713,32154.152796056962,30985.277752646187,34765.41900153843,29631.727997440677,31954.466906670903,30052.67721415246,29795.679348992453
31325.53311436747,30935.15970952646,26523.263226152685,28231.4605286747,23063.06093738623,30512.86874121163,28335.940195747666,36277.78736908071,31899.61736702979,29777.268186320023,33371.20562270098,33330.59564644697,25980.05584903144,31039.25862523095,25649.45180272511,25749.015508187975,32002.183680634957,30546.723006888813,35989.46653006177,35953.293813252145,28179.138183875308,35305.3500054936,31064.54642751282,28156.329256842942,27049.762577566453,35121.448937274145,25591.744074998656,31261.81959710686,26468.889707907863,25221.333224332175,32199.141600136576,25562.383162734717,29469.386137281475,26129.122869818602,24830.47796374196,31912.33010322946,35120.78067251992,38545.29271568058,27371.263944171133,29444.63788676887,25500.43019029453,28771.777898436783,31252.024439477245,28545.369956084487,32154.152796056962,30985.277752646187,33464.299876963625,25687.6679629203,31954.466906670903,29317.22639106462,29795.679348992453
31325.53311436747,30050.729242168607,26523.263226152685,26803.446749574498,23063.06093738623,30512.86874121163,28335.940195747666,27432.233541113288,27751.532424395216,28378.17769969175,33371.20562270098,32385.237633433244,23359.585170178187,29314.3965544367,25649.45180272511,25359.870377600946,32002.183680634957,25049.90119561051,27568.203042729274,33203.20350379147,27757.537060521838,32230.160571160068,29476.288459668704,28156.329256842942,27049.762577566453,33715.525184892955,25591.744074998656,30416.687652825298,26468.889707907863,24604.48643764687,32199.141600136576,25562.383162734717,28513.550077793567,23860.117462384183,24830.47796374196,31912.33010322946,35120.78067251992,38545.29271568058,27371.263944171133,29444.63788676887,25500.43019029453,28771.777898436783,30112.79273573907,22214.18036383732,28568.06406019929,30913.718553681203,27511.508048055133,21721.57103131383,31954.466906670903,29317.22639106462,28992.07343921795
25620.801277888804,28297.191017758672,26523.263226152685,25390.9661341636,23063.06093738623,26890.78378247597,27050.666345054764,27432.233541113288,23035.670972236832,26201.910581911012,30179.272393575244,32265.779730065147,22675.600281864405,28645.681833045324,25593.29642135325,25359.870377600946,29470.65583466571,25049.90119561051,27568.203042729274,33203.20350379147,27757.537060521838,26112.3742528872,29139.841543559076,22617.223975686225,26327.173239154636,30208.720751608682,25591.744074998656,30416.687652825298,26468.889707907863,24161.79810010161,27242.96399169191,25562.383162734717,28513.550077793567,23860.117462384183,24830.47796374196,31760.776459749395,30538.320470665138,35044.196395963736,23880.725268608425,28987.860282718877,25393.18106058339,27767.272588010648,28386.1800765249,22214.18036383732,26567.660093962168,26283.89244430047,27511.508048055133,21721.57103131383,31954.466906670903,29317.22639106462,27924.353202363345
