F132017-100-0,F132017-100-1,F132017-100-2,F132017-100-3,F132017-100-4,F132017-100-5,F132017-100-6,F132017-100-7,F132017-100-8,F132017-100-9,F132017-100-10,F132017-100-11,F132017-100-12,F132017-100-13,F132017-100-14,F132017-100-15,F132017-100-16,F132017-100-17,F132017-100-18,F132017-100-19,F132017-100-20,F132017-100-21,F132017-100-22,F132017-100-23,F132017-100-24,F132017-100-25,F132017-100-26,F132017-100-27,F132017-100-28,F132017-100-29,F132017-100-30,F132017-100-31,F132017-100-32,F132017-100-33,F132017-100-34,F132017-100-35,F132017-100-36,F132017-100-37,F132017-100-38,F132017-100-39,F132017-100-40,F132017-100-41,F132017-100-42,F132017-100-43,F132017-100-44,F132017-100-45,F132017-100-46,F132017-100-47,F132017-100-48,F132017-100-49,F132017-100-50
1100371392.4793127,2924211931.4675717,949603404.4135613,851270230.5598127,1584898554.0946379,818795687.2075436,1482231533.546415,663838479.2280177,2528082051.9787226,835223897.6162694,923226287.8323255,1544534210.2460806,373170714.10083145,2053350991.3793986,1278313283.3726194,1589456018.8838384,1056345958.5747807,1514716668.1817195,983170322.7684677,927808440.7361583,1281509921.83374,1088887888.2888393,906198811.9595083,1495552180.5608392,1585630014.6365135,1503776356.896862,974418281.8028412,1747481662.1169133,477460772.99707645,1045265344.8033543,1243656968.2420444,2762862631.643194,878184174.1637827,212247949.5438812,1509003727.31652,1132870388.4453914,2303653484.051585,1282892981.476856,626589951.2914299,2036699057.0213876,1006354204.5935638,1206198227.3286886,1631328021.6243687,1829674485.964816,1431693697.0485291,1643934926.8377154,2579937058.329591,2207961312.0216475,1573013461.3269718,1188359581.8488033,3031304881.602662
660451071.2279507,1963397235.3910697,707286770.503661,851270230.5598127,1584898554.0946379,686074587.7285191,717800398.1020468,663838479.2280177,2360820843.114932,835223897.6162694,923226287.8323255,846969051.9691586,373170714.10083145,712021156.9549391,1004592656.8980505,681179312.0417211,727946589.883056,1514716668.1817195,575498959.0382643,908483829.2738705,736431233.9659296,638237256.3321998,906198811.9595083,1217045913.6160455,1585630014.6365135,1500186062.6315267,690130693.7497677,840198970.5649662,477460772.99707645,685793351.563161,661171612.0530818,2077175243.6738117,878184174.1637827,212247949.5438812,508955710.61076576,692080285.1993691,974465822.5705044,1240147203.465492,626589951.2914299,578296285.0315173,1006354204.5935638,1030493402.9034656,832132048.7409804,1102452053.1456592,1431693697.0485291,808517476.567536,1264602429.379818,2207961312.0216475,1256875279.6378562,1146964154.2926676,1915857407.4734864
660451071.2279507,1963397235.3910697,707286770.503661,851270230.5598127,1079626862.8513021,686074587.7285191,544897975.019077,663838479.2280177,1038938592.3289443,515503177.96581095,923226287.8323255,701885553.0224335,373170714.10083145,712021156.9549391,591641776.306989,681179312.0417211,727946589.883056,942193257.0825875,575498959.0382643,908483829.2738705,736431233.9659296,638237256.3321998,906198811.9595083,1106900466.186359,754461058.5584538,1071830799.1073602,266079858.59117866,590904059.832886,445277833.398429,685793351.563161,661171612.0530818,1497146200.7712896,878184174.1637827,212247949.5438812,348555226.92316204,692080285.1993691,571151372.7009287,591670824.1497098,626589951.2914299,578296285.0315173,1006354204.5935638,1030493402.9034656,832132048.7409804,686186457.1902379,1040391113.6341552,808517476.567536,1083148299.0973852,1409343249.829681,917973616.0032085,1146964154.2926676,1130832637.0038714
660451071.2279507,1201234445.0288208,707286770.503661,851270230.5598127,301473016.2947467,686074587.7285191,425943694.5698341,663838479.2280177,474660935.4469123,515503177.96581095,884660144.6752479,536235687.5585538,373170714.10083145,712021156.9549391,591641776.306989,310491641.7115351,648017819.8285934,782686994.8556509,575498959.0382643,908483829.2738705,736431233.9659296,604423175.6812454,794765055.53268,819953381.1850663,430139151.7696632,1058150683.3260078,266079858.59117866,393043670.0192411,445277833.398429,685793351.563161,661171612.0530818,1173052364.3086548,533558170.0963834,212247949.5438812,348555226.92316204,692080285.1993691,478269832.0780843,512939388.729762,626589951.2914299,578296285.0315173,1006354204.5935638,743978407.432408,832132048.7409804,465391551.7969893,750979645.883902,655304358.2353661,1013063216.7939252,1395572728.8635602,787496591.0614166,744237806.0115979,964427156.6688068
507496100.49294466,576663052.3388263,648208934.4153644,851270230.5598127,301473016.2947467,686074587.7285191,425943694.5698341,548029760.3766813,474660935.4469123,364106172.1963309,812433364.0484959,536235687.5585538,373170714.10083145,527576448.34755665,591641776.306989,310491641.7115351,531699835.7715078,604254855.9755932,575498959.0382643,908483829.2738705,736431233.9659296,604423175.6812454,599043333.5068163,777020377.8237389,430139151.7696632,605023530.9776613,266079858.59117866,393043670.0192411,402123708.0018045,312386599.00785846,317606513.2522908,966716520.2834846,519106595.37019026,212247949.5438812,348555226.92316204,692080285.1993691,348496618.8589598,445449893.6427151,548436192.7216862,406047903.5305906,755485917.4242808,659709561.223378,832132048.7409804,379778004.5276335,750979645.883902,635483457.0331495,875350743.9656067,835948924.1612786,787496591.0614166,744237806.0115979,764916360.0006214
410086362.9763778,576663052.3388263,579946567.1588609,482542747.8042785,301473016.2947467,508856628.7797514,425943694.5698341,548029760.3766813,291266136.00022495,364106172.1963309,686391657.7041397,228817626.30614558,373170714.10083145,527576448.34755665,355767734.38118035,310491641.7115351,531699835.7715078,450376464.4979026,396134576.6850936,360683612.7617527,581246219.0467387,604423175.6812454,331570629.15168285,558341483.1403692,430139151.7696632,605023530.9776613,266079858.59117866,393043670.0192411,402123708.0018045,279953104.36741555,317606513.2522908,788540215.224226,212945312.5548218,212247949.5438812,193801930.308327,526202333.6153538,348496618.8589598,381664076.60649765,284315000.16585934,162778475.91377583,739525495.1370991,423895618.22713804,207612225.70255592,379778004.5276335,658981634.9788489,442411403.15587854,678612175.282566,835948924.1612786,787496591.0614166,220330255.98198953,691111752.0158398
410086362.9763778,576663052.3388263,527047097.8353692,482542747.8042785,301473016.2947467,498895808.5919552,217782841.70934185,548029760.3766813,291266136.00022495,132984932.5308995,651356972.446344,228817626.30614558,373170714.10083145,347650182.2782782,355767734.38118035,254777341.0279326,422147377.5077816,450376464.4979026,396134576.6850936,360683612.7617527,386001775.43667704,453249654.0576922,331570629.15168285,239773625.14087304,407363094.70824176,605023530.9776613,266079858.59117866,393043670.0192411,402123708.0018045,270039030.3115984,290838538.2360927,460621007.62477726,212945312.5548218,212247949.5438812,193801930.308327,526202333.6153538,242563349.13584486,274993806.0280783,230907230.23074144,162778475.91377583,739525495.1370991,423895618.22713804,207612225.70255592,224210664.97691518,549261109.756759,442411403.15587854,579983304.9693806,446452293.9608671,517816329.26574737,220330255.98198953,486139518.2975026
349219872.51161844,385323520.15540636,420666139.6663545,399197103.78897446,301473016.2947467,498895808.5919552,217782841.70934185,548029760.3766813,291266136.00022495,132984932.5308995,523684059.43214434,228817626.30614558,223238775.42613167,347650182.2782782,355767734.38118035,211279187.4952503,190693164.52530688,432356047.3604153,261566485.31187218,295960257.61019933,386001775.43667704,303513276.8835214,331570629.15168285,239773625.14087304,407363094.70824176,605023530.9776613,266079858.59117866,393043670.0192411,402123708.0018045,270039030.3115984,117712825.86386147,460621007.62477726,212945312.5548218,212247949.5438812,111642840.74859646,189479870.15874475,111787934.51368192,208374051.31123522,230907230.23074144,162778475.91377583,290179252.40139616,390205370.54108053,207612225.70255592,224210664.97691518,549261109.756759,442411403.15587854,526417601.9081263,442960475.84498686,374197112.16081065,220330255.98198953,486139518.2975026
210437779.15482795,267959869.25095838,245662284.96497345,349385583.5913361,301473016.2947467,409351953.6398117,217782841.70934185,358551986.05988526,249856257.90988111,90429873.46469337,398154114.5069599,228817626.30614558,223238775.42613167,347650182.2782782,355767734.38118035,211279187.4952503,190693164.52530688,432356047.3604153,261566485.31187218,295960257.61019933,328334160.5622121,303513276.8835214,331570629.15168285,239773625.14087304,407363094.70824176,550935258.8808472,266079858.59117866,336945064.01148325,370627947.7611896,270039030.3115984,117712825.86386147,460621007.62477726,212945312.5548218,212247949.5438812,111642840.74859646,189479870.15874475,111787934.51368192,208374051.31123522,227500265.6242752,162778475.91377583,210408263.3896674,390205370.54108053,207612225.70255592,224210664.97691518,392667028.76440954,403231796.0569555,440656780.9672461,442960475.84498686,374197112.16081065,220330255.98198953,484023156.35801667
210437779.15482795,225315774.3522989,245662284.96497345,349385583.5913361,301473016.2947467,409351953.6398117,191324858.85131806,358551986.05988526,249856257.90988111,90429873.46469337,391099329.1289399,228817626.30614558,223238775.42613167,347650182.2782782,265054376.16506675,211279187.4952503,190693164.52530688,432356047.3604153,261566485.31187218,295960257.61019933,163805902.36073798,303513276.8835214,217296223.50651494,239773625.14087304,236440357.57967806,486580243.58151346,266079858.59117866,141505678.22871038,370627947.7611896,217958131.57949555,117712825.86386147,460621007.62477726,212945312.5548218,212247949.5438812,111642840.74859646,189479870.15874475,111787934.51368192,208374051.31123522,227500265.6242752,162778475.91377583,210408263.3896674,323684880.2581712,207612225.70255592,224210664.97691518,373566238.156736,335788153.27288985,363088986.0908482,408698728.52071726,374197112.16081065,220330255.98198953,365538044.6891299
210437779.15482795,225315774.3522989,245662284.96497345,271548030.5594086,234380804.12073734,358981949.8928538,167618737.8863513,157064651.2503332,180001383.3463588,90429873.46469337,391099329.1289399,228817626.30614558,223238775.42613167,339128138.3731714,255052804.6446113,211279187.4952503,190693164.52530688,354733506.2753305,261566485.31187218,295960257.61019933,163805902.36073798,303513276.8835214,217296223.50651494,239773625.14087304,205636336.71248606,472505028.04337984,266079858.59117866,141505678.22871038,370627947.7611896,217958131.57949555,117712825.86386147,132588879.36721888,212945312.5548218,212247949.5438812,111642840.74859646,189479870.15874475,111787934.51368192,208374051.31123522,180447405.24079975,162778475.91377583,210408263.3896674,253576473.8993382,207612225.70255592,224210664.97691518,364350672.49166715,335788153.27288985,256404903.44045526,312770786.83062917,374197112.16081065,220330255.98198953,365538044.6891299
210437779.15482795,225315774.3522989,229073061.55713925,271548030.5594086,234380804.12073734,358981949.8928538,131386452.88666941,157064651.2503332,180001383.3463588,90429873.46469337,304833874.51211756,228817626.30614558,223238775.42613167,339128138.3731714,185378424.45684147,211279187.4952503,126611325.17387314,248703517.59328082,261566485.31187218,259163425.16538355,124938251.44808584,276442967.74775165,217296223.50651494,239773625.14087304,205636336.71248606,472505028.04337984,266079858.59117866,107183807.72096565,270739588.1281455,122553161.68570231,117712825.86386147,132588879.36721888,212945312.5548218,130407431.15301305,111642840.74859646,189479870.15874475,111787934.51368192,202602019.7303929,180447405.24079975,162778475.91377583,210408263.3896674,236354779.47350594,207612225.70255592,188276406.27639133,212075967.34966245,335788153.27288985,256404903.44045526,217024323.51359728,374197112.16081065,220330255.98198953,226670552.3242725
