F272017-100-0,F272017-100-1,F272017-100-2,F272017-100-3,F272017-100-4,F272017-100-5,F272017-100-6,F272017-100-7,F272017-100-8,F272017-100-9,F272017-100-10,F272017-100-11,F272017-100-12,F272017-100-13,F272017-100-14,F272017-100-15,F272017-100-16,F272017-100-17,F272017-100-18,F272017-100-19,F272017-100-20,F272017-100-21,F272017-100-22,F272017-100-23,F272017-100-24,F272017-100-25,F272017-100-26,F272017-100-27,F272017-100-28,F272017-100-29,F272017-100-30,F272017-100-31,F272017-100-32,F272017-100-33,F272017-100-34,F272017-100-35,F272017-100-36,F272017-100-37,F272017-100-38,F272017-100-39,F272017-100-40,F272017-100-41,F272017-100-42,F272017-100-43,F272017-100-44,F272017-100-45,F272017-100-46,F272017-100-47,F272017-100-48,F272017-100-49,F272017-100-50
54972.967451805474,59326.05191131081,58001.18769068136,81188.22527679664,58424.167816725894,51930.20955889249,66697.36009077876,69027.76888099742,51329.530485335854,55661.72850559035,74840.90604897297,59893.65169177852,65674.9236270753,63922.637022458955,54866.5336985111,64175.76924358233,62682.70605327276,59855.592979465044,46043.258001158356,49064.317936852196,53316.337043805805,57404.40912723071,55489.65004336049,70809.72867355184,69411.71653535536,58130.72313183388,79632.15065613201,59773.70429221238,62081.47158787052,56378.03458734479,55012.273192535235,54336.046591216655,62615.09028567186,56611.92467017929,54493.6767221384,46690.62747426052,60078.149871611124,65498.32639369344,56486.00758783571,54868.78203924488,51024.28051827435,65370.47858807306,63027.50199241395,61494.35183530508,68497.39447570052,57718.137578566784,56896.23444231761,60858.27414975715,58581.633979895094,55662.48193291114,61762.8379139745
55448.580809247964,56443.58382312846,50804.196168897826,66362.6948535754,47015.25393992846,52027.05874315713,56170.575215940575,49169.781992566815,47592.9907913887,57277.226523696176,60146.805964225874,55533.626719206244,46567.40928903182,57894.33953249096,58674.86715553143,51712.11969190143,48917.783311325285,47472.818373125134,51610.91339311146,45803.776497751496,43059.54640126066,54152.30127862133,60444.69127970064,50291.99563764706,50915.14194881391,55907.548679774,63715.2375424649,54740.564442173054,59503.593022604415,44268.53033890741,53622.12504509477,53225.28928128712,52349.17329124331,46323.302867774706,55009.67568311983,48647.29343284189,58179.09575195354,51213.83040277439,48507.582845516794,52194.262834986344,48949.49652689601,55798.48318241686,60918.11566140816,47285.51198997566,56875.28282094686,59485.32393666147,50862.72674652562,56373.23780298093,42568.95429550261,44972.21838729607,61617.170435802764
43487.246457564914,41217.79961184208,41892.5082409691,47122.73951697249,41411.135874497006,37222.41903762031,38222.74678694967,45227.282407268875,42708.2322617124,44953.87416992239,43740.46218776889,45595.12318385522,43107.37005648071,42693.54482676059,44578.66014404223,48992.639587280406,38942.88160300627,48784.6052941664,41351.041012375026,42201.23849273635,33147.90110094633,40620.25850504945,49644.34558255663,39190.63924161618,46994.58986178584,42214.188337333726,51199.23792569435,44086.09178634011,47520.57228250191,39356.709528798114,41702.36512533032,45685.020150379816,50761.07695884251,42259.2072062139,43191.32269359002,47480.76762478694,45989.13046993559,46550.81840274082,44189.41497502446,44710.989908611984,39824.61034287579,49530.03272495382,54795.67309753823,35882.4436350329,44912.283872329084,47427.44782185195,41383.91557066917,56002.195779814814,33907.453939924235,39336.40262371551,52366.048680222346
31655.61477007522,33014.053852477155,37573.88275675655,48080.83453275553,33718.509512511126,35034.36899606779,40552.115524857785,40945.063419554535,32325.400094720473,39575.449412269896,39497.566789936274,38791.81133987287,35679.772568220455,40560.52913889576,39722.01928900706,40972.31337446427,37669.18064241596,39491.91638831419,36910.55735179013,37051.38115209782,35755.139130849515,37160.659682205944,35527.422373593865,28938.08439673725,41891.62919751821,38743.48814714507,43670.52959317473,37416.47281736224,36408.2670498959,31906.334020350714,42247.36959651214,38966.33634166802,42182.0404526706,33228.62673946018,37998.98744683352,43650.06214387821,36949.20106832941,39502.48694653628,39665.527447648434,39797.46715676516,32894.13607688385,38314.56242415154,46100.26319255549,33424.71146107305,38954.736967877914,42826.88318328227,37673.53540178549,39098.11012257695,33693.062681921816,32282.02201265838,49165.210897492776
28764.354472185543,34313.02345683785,32760.87480651815,45627.054364288626,31341.16057360699,35053.77789299257,37288.067265919846,39365.55867447693,27738.839172419837,31572.323150253094,34656.14722029861,32695.29701948541,30009.399804289238,35754.113170572935,33949.80708391083,38980.411665932676,29236.26431747579,35196.27429977615,30377.619317423374,31434.53192053273,33278.73552935141,37200.855808621214,36370.90037847985,27617.97586112019,35402.444552234345,32455.136078359155,35259.48368301059,33719.4607574572,31065.400568898658,29555.01366606382,34128.34432869419,32305.499830584133,36444.26078156557,33854.14369162657,37107.41010420912,34279.741747944485,26269.657755603297,39348.71086717245,34422.214978341086,32605.929532237136,33504.3164567403,31751.961872975673,40514.8861249331,31299.442011817595,31851.268562121037,34572.14104482139,36691.99271715258,39821.79952891596,31489.487799380342,32065.900016567582,43404.98516444402
28395.666997224864,32462.775012062728,25563.548499370063,38503.031734939505,27140.113505800004,30419.698895249425,32140.883809527593,34568.98033329744,26623.96815717529,29034.19470118808,36624.63304351631,28647.888449909864,25267.430065003588,36063.73604613754,33773.079564478634,32175.920449095418,28847.350733132345,32653.601622127462,28203.101044025825,30935.409647595683,30306.414443800764,32487.62163157872,32665.223538179027,29595.676844130998,33083.825394301086,29373.224786494186,33679.55736111433,31564.709872648775,27483.729697826053,26885.36562161685,34988.9305502527,31114.776767404415,35901.18921093072,29376.137672898112,26013.265142184955,32995.83682671368,33381.93070463816,32682.812960913325,30053.476903225914,27172.451965220036,25637.028124879245,33879.86594227787,32984.4335395448,30106.057138162534,31697.933222109234,36873.68627037992,32146.499970210105,31165.60975964985,26930.547100398533,28887.657036144592,39413.97265212744
25180.835002586908,26627.472826477413,25223.520149659962,33492.84708722039,25370.67643412137,29187.302953143128,30243.715701274185,30985.31243877222,27020.67035021809,26440.661606536807,35510.927019109855,27439.37227815382,26860.64741769685,31631.024490929703,29668.61272415369,30410.956898313165,25538.138657308617,28433.55598775738,29840.47399570635,25052.882329197382,29699.582455403153,32488.64342832733,30920.192898232148,25492.7607361666,27584.17856425356,29353.074067271245,31830.52669402461,26475.82272868276,31721.85095850023,25832.147179008123,30646.190040353733,30492.34931441828,32664.284233072267,25073.903510109783,25345.579118905105,24418.73429111326,32279.358129908,31691.17297301591,29682.65936265549,26065.26444462967,23919.34924326948,27762.38749317528,34097.758857591005,25450.415052265158,30975.549047198467,33137.1172775375,26306.535422968558,33635.642589504976,29007.125510126883,24863.88352989541,32479.057531238243
27280.899925563946,26384.411702384794,21540.619059987377,33954.23244028618,24392.269523940573,27722.035010046835,28389.470019398355,27978.363351956716,25625.915468940995,25166.187067016697,33651.185742686044,24981.176504992953,26213.064570960283,28060.603524883594,27832.210376402014,28841.807885971946,21472.766547545194,24515.31138147542,26801.89226627502,22186.19489757835,27952.163229382284,27575.625947187775,27516.152211329954,21567.762952696317,28806.17769003,24279.973934746722,28396.425843153527,25618.390568897375,25520.237277440403,25372.427212715993,28561.345724568368,28698.945878572224,27147.53048252496,25618.319564741607,26249.52669529103,27739.097712180777,27757.629584481423,25829.43298163206,26712.272565180137,23986.451049730884,21877.390705270976,28073.21013444899,30741.400351151526,24933.31834815573,23371.12740646002,25901.60531488464,25619.531269059782,32446.35533481157,21969.06707477944,25558.68929631281,29044.741456091808
25010.63694138683,24813.346294606552,21210.906206467436,28442.566286199206,22038.628356907597,27326.171909893346,29352.76643401568,26629.434345660604,24942.19092395755,22334.961133515204,30125.309980173563,22695.657826066265,22601.238700657417,27894.469965277836,22831.22824456245,29498.607707923038,22617.0302111302,24465.223003033912,23092.42828598158,21462.249935163254,23052.10734600962,23717.48106777876,24971.066634251925,22224.65122626035,24828.321631897703,25525.033502194543,27738.355465635228,24397.580368844483,24293.093604885064,24540.110798718593,19868.63003434501,25737.24097121707,27549.43903673395,23944.729686987892,23021.349956819136,28400.997197785953,25240.107498126865,26470.93933154226,27860.311300945086,24293.777306928492,24100.61194650821,28040.40994288856,25450.17884837626,25292.096846335295,23625.48130724505,23962.79825070269,22728.986866531206,26077.49894430956,23022.08587411511,21847.06036937511,29876.574341458127
23360.327320336954,22921.665101417468,19549.315550328494,27881.46278444822,19560.08883153768,24453.677713175326,29705.221114299005,25158.87044579535,23300.74594155811,20101.54098478027,25809.64130500901,20917.75669233305,21881.993236339786,25558.37474376884,23403.790812573887,26766.67632027678,20047.15383920015,24950.807992948972,22891.356765568675,20396.174907579163,23648.23383964564,24156.10212361485,22102.429958215114,21054.51532169199,22511.185312245467,25613.099322496295,26553.000952671508,22980.260504864294,24613.720944503206,22069.690202514692,23193.708577741327,26725.268373126586,25185.38153976374,22255.308771607088,22793.204315955943,21348.42241083482,24169.364945909783,23934.993889645004,26527.5342525711,20141.879151292014,20806.345788561473,22414.759864393378,26456.894176271104,20625.862022648143,22730.95526046317,22680.330936537743,20688.919755097537,21341.94644436851,19625.65609901367,21964.306908871313,24354.57958749093
