F212017-10-0,F212017-10-1,F212017-10-2,F212017-10-3,F212017-10-4,F212017-10-5,F212017-10-6,F212017-10-7,F212017-10-8,F212017-10-9,F212017-10-10,F212017-10-11,F212017-10-12,F212017-10-13,F212017-10-14,F212017-10-15,F212017-10-16,F212017-10-17,F212017-10-18,F212017-10-19,F212017-10-20,F212017-10-21,F212017-10-22,F212017-10-23,F212017-10-24,F212017-10-25,F212017-10-26,F212017-10-27,F212017-10-28,F212017-10-29,F212017-10-30,F212017-10-31,F212017-10-32,F212017-10-33,F212017-10-34,F212017-10-35,F212017-10-36,F212017-10-37,F212017-10-38,F212017-10-39,F212017-10-40,F212017-10-41,F212017-10-42,F212017-10-43,F212017-10-44,F212017-10-45,F212017-10-46,F212017-10-47,F212017-10-48,F212017-10-49,F212017-10-50
2291.758892918595,2299.8625577071607,2290.1656044053107,2234.402184423611,3468.107242190016,2403.2920314807184,2318.1989780491886,2281.867403852026,2440.1082060185486,2485.1730354704678,2421.6472262549505,2296.0440469540767,2346.024985865419,2264.0315423679704,2413.574111010762,2673.1255742366825,2879.268879244246,2303.839048756711,2413.494500209885,2383.16010150701,2372.9996982076063,2354.6516798291045,3359.313838161558,2606.7726005728146,2341.716947724385,2545.4238060829875,2384.7165882515715,2715.797121478039,2314.386041848888,2347.2253504599926,2607.7248720265034,2514.619152697592,2368.5589979881715,2700.6721270417747,2638.3555717240674,2385.72062037546,2456.667325496571,2379.862143676965,2474.117550166317,2344.6911268391023,2355.3459945776735,2601.6353088631836,2635.7693130804178,2303.3128714160057,2335.0297318146054,2458.8273573052543,2290.6506150825317,2317.5801954068443,2467.336277733891,2425.9221512383847,2897.2059691447907
2308.7939808529222,2286.540415542464,2286.9471633059225,2255.6481445606987,3021.8771681770386,2376.894570004195,2259.6794285998826,2255.073238522124,2318.425575113504,2315.235088775473,2440.326187043953,2270.287882738311,2243.0401799501815,2261.524262152341,2366.1825071473518,2482.4231042978267,2652.048336624972,2368.3369422242336,2351.3987675922567,2336.20014947653,2336.1093391778363,2396.02854605316,2713.0859559486858,2483.89666524188,2292.2347611625437,2453.248419424471,2352.440024542124,2456.5398777464275,2280.9569624553355,2318.3111176200964,2410.080472126442,2297.2436381430825,2329.9475183861414,2358.9822684481246,2420.996772102376,2292.204133522194,2478.22169133772,2280.8228011092538,2332.9571180291878,2335.331033272915,2280.7237217044103,2491.564909340259,2417.947218713885,2334.670348610599,2301.3004859455114,2369.8545166932568,2318.5241710422747,2293.8502983609274,2440.1874998866724,2426.378973779936,2711.0280792751973
2249.3476497044776,2277.4633461721432,2256.130483837769,2249.67248301306,2516.2702451871146,2290.089399364763,2257.3663922447518,2254.39367693565,2261.9348080115465,2257.787005190963,2403.033296931299,2241.14413708607,2246.0032563176783,2246.81672067303,2283.7906036078075,2369.8278799911213,2424.8853141248733,2297.3219814830845,2273.0162048787556,2261.440406396095,2256.760198009762,2342.9401629111676,2463.361339853234,2345.342905415072,2240.85321845381,2423.4145444834444,2339.837213910452,2281.3301700499123,2257.2365051009133,2289.3233937795208,2347.906074595816,2271.1100856986604,2288.170332620728,2290.6726440943144,2302.074284622871,2268.884995892584,2373.1993766224027,2277.919790760769,2274.133943876864,2258.8383194044686,2268.0450038011404,2332.378957966609,2334.6256597873994,2286.0264190947228,2286.582594936746,2287.12771843435,2259.951593540799,2279.875098865557,2307.526168903689,2320.888038654833,2458.8789511466366
2244.2726741986735,2259.2825654528774,2236.4663963741564,2233.854366351088,2299.1113844745487,2233.405471239336,2239.889745614384,2236.6196475733177,2242.4138910583406,2242.744083039648,2284.85601673048,2235.2276596484658,2223.0589269460293,2239.8267496225258,2237.774889520844,2260.6810806687204,2294.1988869313523,2250.6955815969445,2240.5995138832263,2228.639871758633,2248.082510818173,2276.5169419444424,2296.808250609256,2270.265472585161,2237.603511176014,2311.4915948046173,2293.4577249674294,2255.0865211968694,2238.646484808807,2248.5507836782976,2288.6141081783344,2237.165086657531,2249.550099114337,2278.8513025105844,2250.1841211823794,2249.574720323295,2317.6832271448116,2254.033473773451,2276.4819568373414,2236.0663938238113,2253.189789833664,2275.5629869843397,2272.9967539198515,2225.296222980183,2254.7264564450134,2249.668337145781,2257.445422522259,2265.9708131019624,2254.259893472645,2269.5832941293006,2341.8677788843293
2233.6735413775186,2231.8907969831334,2221.436916612046,2227.228146512392,2236.705566990321,2231.2800076421017,2236.071843831475,2226.7324188568828,2240.764666392548,2231.537433690472,2253.745475182468,2224.0786757349338,2221.1726357159455,2231.8414852094415,2233.655400346717,2228.116538605258,2264.1843842818,2227.099187516328,2231.5118576220502,2231.0449573175824,2231.570105985198,2250.5804274377847,2261.4278773178817,2246.7306236131394,2222.3238459009467,2252.813456753913,2288.3983776749906,2252.387790167366,2232.6046145110695,2227.0502886151367,2250.9334630511044,2236.733461625083,2232.2133093825983,2250.286293869592,2222.962739594007,2238.5709559366023,2270.836822014598,2244.897180400954,2257.2615281253256,2228.908359184595,2235.412992171533,2244.3401723866255,2250.2121958007133,2229.815520239694,2239.7328942814397,2236.7063647902164,2236.628716919358,2239.831634670989,2247.8518473666595,2233.349854390001,2304.044566134177
2235.5705093685183,2235.1779447437525,2225.0485068669855,2225.3068499013207,2225.3702146198593,2221.979631108878,2228.6170428225864,2226.6841306966753,2231.346737310199,2225.4314260910537,2248.0692182030616,2221.046218760119,2221.3358837586156,2231.2664506213023,2228.7929516641602,2225.3627858652962,2240.1757418209595,2224.623620807746,2230.942398874168,2227.3012620822738,2229.219862190642,2234.1671116889906,2239.8438573534486,2240.790402020776,2221.3608590806916,2235.3861059404067,2266.3601712681075,2241.1687527401327,2230.2166095069474,2233.074706673366,2233.4230349448644,2232.022877064015,2233.030479576345,2237.4591394626796,2223.618210233589,2232.0323462578785,2246.965931185397,2235.152427564694,2254.8757476735154,2226.1322714735606,2245.7146360106467,2230.1988475546755,2244.7525357188792,2227.2916713556842,2237.82401885879,2228.450444352938,2234.4569033349944,2240.3809301804563,2243.6878901890973,2229.6871271922746,2255.029022261623
2227.5966674615265,2229.071016630966,2224.708880995137,2221.8922653450186,2225.2283715700755,2221.2900962668773,2223.898424417462,2225.3713177093136,2225.6138792620523,2220.85840786436,2240.2570833300715,2221.7075936066058,2220.428979989002,2228.943650391468,2231.8608188970456,2223.3858387191153,2229.849566273165,2230.791321268747,2223.6936454806864,2222.648176463667,2228.718859034862,2234.06912071427,2231.6050696315706,2235.9150081900452,2219.560654923945,2238.364552751079,2253.6672224905074,2240.948300600244,2225.3421981456613,2231.103978441243,2224.3465815214317,2235.363694468064,2225.507932020604,2237.554275483514,2221.454623325654,2235.5509224742646,2237.400413418347,2222.0351637253248,2237.286676705272,2221.049152194355,2227.483076700367,2229.17989639029,2247.6284626549755,2222.8112415182413,2231.4361399823856,2224.0169625826325,2233.6526490729566,2230.2713971950852,2242.480568816411,2220.8897948876293,2240.815662123148
2224.7871798217907,2225.251948741447,2221.4537370381763,2219.2393033031326,2226.990146764959,2218.253376071779,2223.7669674376257,2224.2104192622137,2220.469510103932,2223.119056922689,2239.0833597615315,2217.693927148239,2218.8108496768787,2227.3109315080674,2228.1664507400274,2219.3161863887235,2226.0078743288973,2225.19978518953,2226.0761140578097,2222.948179943964,2227.0280124129563,2226.776901865863,2232.1737329101693,2233.1540641799083,2219.72882457722,2231.0599695688275,2243.287773118421,2243.3566123726805,2224.4470941699074,2225.1404292516872,2223.3424816235542,2225.589942213966,2223.6401944129598,2225.8497341043517,2221.5700587853185,2227.440059681501,2234.097795583582,2221.6320242338825,2235.255698853617,2219.163630156888,2228.422145004718,2226.5023029801177,2236.7341072533063,2222.4225173844034,2222.2160047525344,2226.2391036698027,2231.938274485874,2234.4314135837058,2228.916162117381,2221.6283708486258,2239.4674719223376
2225.021438271548,2223.968655584944,2221.392393487276,2220.6904517471703,2222.6887645133434,2218.833540691479,2223.186459198312,2223.017353287981,2222.47864936042,2222.1624154385095,2235.340981133282,2220.6384550884454,2219.935223121874,2225.989534745228,2223.245248804101,2219.623194460819,2229.1776519757573,2223.4204142834465,2221.436246307116,2219.212803718287,2222.246746629046,2225.4765272977065,2233.8024206706464,2232.116616969832,2221.8645208598186,2228.8495878502395,2227.858954250175,2227.7835411200444,2222.576536894985,2223.4326066905146,2221.9611610238935,2224.8756445744775,2222.6538363228487,2224.7365595812503,2220.3222781107997,2224.9383845357074,2226.718383108005,2224.4060427927875,2227.7955329310994,2220.267441502395,2228.6464679497203,2225.3470214192657,2237.018534594267,2221.206635714862,2221.853098607631,2223.658822138601,2226.330980849003,2230.5076322139444,2226.059668492365,2220.1887113701405,2230.8153161272885
2221.921642238118,2222.4559391406665,2219.0105816070845,2221.6786195770874,2222.7047016387974,2216.3503033985526,2221.8513925087655,2218.1929189307843,2222.6036742310985,2221.0812788519493,2237.0601555082044,2217.9399448633867,2217.644545939893,2224.984903837109,2220.0569974223745,2220.1769829361397,2220.536501619991,2218.500168284788,2221.830505588245,2216.4771485327337,2221.1452334259475,2222.3345662002225,2226.284749298008,2228.908335584491,2218.483526599799,2223.1648715426986,2224.4414057550016,2227.8888731173206,2220.270730663029,2222.8686287788355,2220.7837054685497,2222.609938698836,2223.259181173898,2224.274251326426,2220.4600337903303,2223.6198495232115,2220.205735546668,2220.8347485399936,2225.7933890111767,2220.681463863413,2226.9912143461374,2222.2716579699054,2237.5949454306087,2221.7105529705827,2221.520725112985,2221.0978169668124,2225.7722889513516,2232.5124333964086,2221.8637969588235,2221.686318569611,2223.51278571485
