F162017-50-0,F162017-50-1,F162017-50-2,F162017-50-3,F162017-50-4,F162017-50-5,F162017-50-6,F162017-50-7,F162017-50-8,F162017-50-9,F162017-50-10,F162017-50-11,F162017-50-12,F162017-50-13,F162017-50-14,F162017-50-15,F162017-50-16,F162017-50-17,F162017-50-18,F162017-50-19,F162017-50-20,F162017-50-21,F162017-50-22,F162017-50-23,F162017-50-24,F162017-50-25,F162017-50-26,F162017-50-27,F162017-50-28,F162017-50-29,F162017-50-30,F162017-50-31,F162017-50-32,F162017-50-33,F162017-50-34,F162017-50-35,F162017-50-36,F162017-50-37,F162017-50-38,F162017-50-39,F162017-50-40,F162017-50-41,F162017-50-42,F162017-50-43,F162017-50-44,F162017-50-45,F162017-50-46,F162017-50-47,F162017-50-48,F162017-50-49,F162017-50-50
74525885383158.25,303726875850538.25,142309890183142.9,1882196129948860.0,1980072049138706.8,8038831814339942.0,418089812335331.44,2584374800244264.0,1301049730109917.0,29779394883999.156,1853113941931996.5,1234126138357539.2,2425324541356270.5,1.017338844660889e+16,1787004702264612.0,2199472221794511.5,352158576624482.44,1830867368394360.2,593662787436889.6,1052776332381066.8,4166713151199274.0,2019655158670201.0,2114496647504484.2,750823352750394.4,53403316089929.44,1474814535567375.5,1831747785628626.5,597528400204826.4,2570164556185939.0,8374603688598346.0,3851080637250843.5,1721694511622988.5,3761836112927775.5,1819717848690810.5,263139112685762.6,89016862972113.42,2235155088653153.0,4126307676469944.5,1741282023806633.2,2370918630790084.5,3779695357492452.5,37745993421641.695,1130891385109207.2,2104165653594734.5,1.0084011050286254e+16,985603443712685.5,7040462130988714.0,1500098018201554.8,30929949070260.395,1.1081545565336952e+16,562558893187281.75
74525885383158.25,227515768437599.03,118282262966117.42,39398395905845.07,94812479411903.61,77647363655779.77,243346021251623.34,47042569417944.26,217502807075896.22,11647815444802.715,336696525301817.9,90721272609675.66,121636769944294.83,226727711297839.62,240161416370678.75,560546205019026.7,38052826317602.414,29977629745460.066,314604554488057.06,117105764694791.52,271439987148558.78,349729092327484.75,66042263299371.89,83229655971045.42,2675680257210.3057,94410629026531.23,528144887721276.4,293940023854231.9,5682531166196.996,621459478433331.0,360032571915548.94,221975357370823.2,270879168668173.8,17400282036050.102,208521389387933.12,66949107261115.164,367641784900937.3,305199648875162.3,58243898229092.92,98825666543837.45,248684599990179.78,18689460300259.688,91830468785732.5,30426424416159.066,36383695321036.086,46006117841346.94,194209252793926.84,39051099217006.24,30929949070260.395,433843833665245.4,66599478346618.055
44977078703102.3,90748084165653.25,112556210042771.03,26671281025691.055,58594685160486.23,77647363655779.77,196888040829496.16,46397453465365.07,95167670090111.34,11547200753670.541,103376017746393.1,61111990345566.664,28595171932505.99,156017259891350.12,209846031069003.53,314812282775492.2,29487566818730.395,21888295868898.113,206262106894700.7,80262636804759.48,104719930738438.61,80966730033088.67,48097702891659.484,83229655971045.42,2675680257210.3057,38943236505765.836,130680472956107.03,53402034575897.945,5427845566059.997,369846941998521.06,256685108455629.44,41688347711850.99,100629310003431.98,16008000497489.31,64945125182686.01,65936265036177.68,95916447961038.56,289722094337986.0,53724779594290.33,98825666543837.45,201859687483682.8,18689460300259.688,37816299833056.55,9741563592623.156,34049475012742.516,46006117841346.94,194209252793926.84,24835837634011.64,19702502470777.02,281292369899838.4,3039477366933.8623
41488190332658.086,90748084165653.25,63259177213760.984,26617873753438.08,41450534400486.67,45827883525411.16,196888040829496.16,37730815465922.875,92367649670797.17,10882973901569.842,20330173330513.684,56301622303960.71,18838555862221.78,94391317711247.47,65001858225450.64,146060040276848.34,29391078961801.348,19078402377776.83,128822063973417.98,74066126623614.02,80277911215195.02,79023783789418.75,47254682742057.46,74124068036306.1,2569859907738.9863,33942988072879.55,79049811321758.7,52011864092046.164,5427845566059.997,342031363442668.4,226084193936401.78,37476104225769.055,96805008159053.92,15781027986060.049,63229998386071.13,65887959703460.45,85661057309301.7,146846749766858.62,48353140805862.73,97636286997997.5,94614549722754.42,18576879870142.55,25098833956021.645,3090488030468.751,33636638373608.83,45137404089684.61,129877815022266.69,24054162599062.48,19351115298623.01,281292369899838.4,2459015117514.185
7187275855866.858,83684898994599.38,55585106520780.375,26610765973803.418,39281080949100.38,37876448414208.84,172831061543968.66,37258010829464.96,53726640312979.14,9507630549626.777,19312199373222.402,56301622303960.71,18566772047583.32,68073196386843.16,63591245296082.24,146060040276848.16,23524048505935.645,18990399205155.78,112482636439513.92,73805275298296.44,79718866469612.17,74992636588075.17,47254481216830.36,21579011319855.547,2565849706690.133,25052139731747.945,76621327928319.5,47976187380023.484,5190043146691.759,309129398308555.3,135451350166118.7,30761270535758.52,93540426569422.94,14193200728646.928,63229998386071.13,65871657766462.78,82636220456412.12,139749057441407.81,46738581438849.07,96656624880144.61,59317404003375.53,18576879870142.55,24759802270904.062,2713866833798.5347,33267744808130.01,45042321404696.72,121981337887215.53,18049626721810.51,12316703423185.793,279880105029284.0,2270498214199.386
7161492844257.559,82849208246255.86,26290699357128.156,26606781396429.508,39281080949100.38,34503675063769.996,115166470076168.19,37240072722377.31,52350909845427.51,6174944611531.812,19179447773981.215,56254817941838.0,17813300476341.03,64887523882612.875,55485234145259.55,127002124528448.28,23315644095806.69,18990399205155.78,109618734439333.62,73741565090101.03,79433595262603.48,74911127001265.52,47085608144865.19,15525112861346.973,2564729692191.197,25009737616211.844,63607104982646.53,47545308586458.21,5190043146691.759,238122381381195.1,133492395744248.16,27899506578202.945,93216415274045.38,14193200728646.928,63140015662655.6,27258140968635.324,82413164050297.53,113064114427195.52,42234328734802.58,83005383553023.69,51039484545427.71,18576879870142.55,24758962393272.79,2204043232540.301,33261305635550.336,45007066835289.01,119916088422119.58,17326961038293.549,12261423542857.229,246157695691213.16,2260459979066.527
7161492844257.559,70697201172522.44,24998092160790.02,26606781396429.508,36883556408484.984,34335799277168.0,92004426707274.95,36633548773539.55,50830098480181.42,6066909962979.278,18681216482649.938,52128387089911.53,15865810224792.713,54189954913685.766,39974477157289.25,36457077490784.78,18724618154900.24,18990399205155.78,99716563304224.23,62233906243416.26,73932557676136.1,65635342222034.18,43141400451834.97,14091546714757.652,2378180242596.876,24827937478691.82,33808308820895.414,44562097664931.27,5190043146691.759,214183315580268.66,123388971258491.72,25970612064635.918,63253612265614.805,13265164387902.912,63127302148016.53,24491899550644.996,55744786602695.414,68080171922644.805,42234328734802.58,73143465812459.33,23920645284038.04,12078805614057.281,24545770555608.953,1472687514679.5,29000402183054.016,44973264091534.63,119916088422119.58,13977625896788.688,8594986011746.6455,123646011674450.0,2134097174934.942
6660866619312.485,68142161594545.15,23561731152489.848,25816699646016.51,35188680249726.0,31158687082199.008,87355560962472.44,36385259501726.836,50173748401212.3,5532640677773.665,16622929404396.947,51065887698794.31,15827468327665.697,54189954913685.766,27882318370204.668,36240894679891.65,18644801071042.46,18990399205155.78,99643196227792.77,42882848164793.63,73658348531318.34,64631620531351.234,41705831550194.85,14091546714757.652,2373310329377.4946,24599610028206.76,33632859181290.625,43334676654456.73,4880915199109.656,186491244725116.72,111511444238894.19,9264750689951.705,63253612265614.805,13002834132205.107,59321165836876.94,9149426435770.236,53162146684720.05,64072107640713.16,26509325611823.363,67820685226468.234,22468980774880.324,10087375591016.096,24519941496851.31,990273866643.4581,27362108966189.504,44480479664390.28,119905727288429.36,13054227871208.895,8594986011746.6455,92230516872695.34,1667956243848.7852
6111270165259.722,62929649737702.21,23195663659507.895,25808854572580.82,34133387438563.406,29337873168456.71,84901534038677.36,2977415044798.0884,49095757593720.58,5527508108282.195,14644662340346.188,51047704752512.41,15823660632348.258,53140182781833.56,27257120978174.16,36240894679891.65,9623370088968.992,18990399205155.78,82456907981698.8,41318558600291.83,60241264116083.805,64242762954783.695,41669796615924.234,14068711701000.621,2364861951073.9097,24593023699292.297,33038592670562.574,38316269302851.055,4783290568780.123,117941092357837.19,111170420039779.44,8493055702505.625,63059145895883.89,12783199726708.766,59321165836876.94,7545440379620.626,46994914665966.61,64072107640713.16,14188375542639.975,52929668307424.25,22224507885798.227,8898626342278.213,23707920659424.395,965189105024.1702,18736947987858.832,37808068203876.22,119904081752961.67,12936410321479.133,8256151380181.286,62410662767181.44,1500382191620.8818
6022298158240.726,62397125632150.195,19802377339801.92,25807571130943.734,26131012455513.33,29193618435856.773,83164050821346.56,2505209146248.898,48431856853509.18,5525887128946.203,14643148503944.639,19963107927577.246,13965162906545.408,52729149641591.82,27238123317951.613,32024152922153.777,5139645517595.621,18744843578941.004,71529019016922.73,41318558600291.83,51592341869448.62,62416934271895.63,37672981734615.414,13354304927408.17,2364861951073.9097,24346101788443.54,30228670951535.324,38191605099783.94,4777525421072.931,93918811130660.22,110865183018920.1,8412718206288.601,58523114078295.16,12020856193577.97,59122166472765.58,7545440379620.626,46257517539412.14,63971834604750.59,12700846578596.55,52929668307424.25,22167062699887.695,8892311600295.19,15294336232041.902,942074709125.7235,17837257186000.848,37646915411192.74,119903154601294.12,12179010360246.625,6449799323193.686,61855897586982.31,1485406608166.7073
