F252017-100-0,F252017-100-1,F252017-100-2,F252017-100-3,F252017-100-4,F252017-100-5,F252017-100-6,F252017-100-7,F252017-100-8,F252017-100-9,F252017-100-10,F252017-100-11,F252017-100-12,F252017-100-13,F252017-100-14,F252017-100-15,F252017-100-16,F252017-100-17,F252017-100-18,F252017-100-19,F252017-100-20,F252017-100-21,F252017-100-22,F252017-100-23,F252017-100-24,F252017-100-25,F252017-100-26,F252017-100-27,F252017-100-28,F252017-100-29,F252017-100-30,F252017-100-31,F252017-100-32,F252017-100-33,F252017-100-34,F252017-100-35,F252017-100-36,F252017-100-37,F252017-100-38,F252017-100-39,F252017-100-40,F252017-100-41,F252017-100-42,F252017-100-43,F252017-100-44,F252017-100-45,F252017-100-46,F252017-100-47,F252017-100-48,F252017-100-49,F252017-100-50
556650.9570262622,603396.546752914,647447.2793468679,312216.9603858238,339377.91656278627,588833.5436237669,515676.16669327207,532753.3848814354,271954.13893306133,404141.0916326706,413395.0610646333,474303.54594294867,546651.1496691145,494479.2577066914,568017.1789255921,418459.3060885426,586598.3396477244,674706.1120466092,523794.07725676213,544752.3213536482,405383.21597115265,482106.3948923966,435789.3590272832,503712.12302112393,779636.924831327,507389.4344644858,528995.5439303194,573916.6068626833,539444.908648948,558726.9199861409,563764.4493660668,503002.1543417528,576915.0969977676,444984.08453964256,471301.3443945585,520056.724697176,536455.9958068065,714791.3592684396,397500.3101414237,537306.5951912812,456281.3859894315,402538.795131522,416979.9679354093,779358.9981268614,368440.04271544906,368786.59932609036,632795.5947310929,570162.7431861927,348564.7930344521,412011.80588962184,461726.4017016691
435114.6343353852,421833.9227348365,589068.2948827305,259545.5251764984,269243.0838644092,503116.422823414,451288.5825158075,449046.90644246066,254446.6892862217,348276.42343921564,376010.8486251906,322436.95250178763,414913.26499375934,279705.66656434815,495135.0879692517,333802.35014198953,501836.33749004424,578816.1585887149,387349.5708829729,502709.2083263747,312975.51458264276,348205.95801656076,391251.9202566849,412991.2298636062,570772.6524840386,360294.363576218,427654.4093081494,409177.98277603945,418797.79753331887,428961.7381658796,428992.6571635945,428499.99395840906,471378.22700532357,327878.60524717503,303265.71260251704,446054.09011259,397554.9326970541,430348.2897264844,315193.2687410966,458408.2881388781,348899.155259091,330811.19753768743,369799.0694366212,582857.142137448,331449.9349612871,338919.1691118077,437043.52073806257,424767.78240235115,181601.1404963869,388671.4388719203,358320.5422488935
386039.95980094327,406382.08900288027,566433.3572068056,241179.0392136721,259909.8128307422,483774.23091893236,402992.5418834615,432021.4574396233,240024.7891936197,306305.58993542555,304274.83024073154,293550.8963768881,403582.7992455281,277191.8078902309,433676.10147428553,307349.95260727964,449049.3855677615,464199.24709818326,336041.75097280723,385078.7982237435,290621.1722440122,303998.26873114204,363296.1626256051,383965.2866047403,531264.7025122587,281363.03116541076,392946.36608731624,344964.6659274641,378912.15025348694,387310.6628867757,358853.9920152498,390926.56226503226,421120.7119526618,312820.67535518965,290856.3017808716,403119.8223164087,378337.8175726371,397072.8731535055,304487.82305041415,405180.33374591445,315151.6774157316,278850.25747941504,280888.3120646606,568444.6632071316,254966.16707682272,329925.5620793589,405537.111360863,410891.7020100327,149517.59153396776,375604.7505991651,327568.7153390083
373360.2262415431,325375.07527702395,553165.5651510482,231038.62643719607,256878.82346531408,478186.33471871825,247663.60905459718,387601.8120913522,237099.9106208074,267813.67639132106,285249.0121472094,270111.30564270547,385126.883678073,252079.43102945035,388035.6271005153,261396.59135143363,375076.5016258882,335242.8668601913,321572.3249831344,383979.70156955614,275955.57579101756,290829.6901162118,310465.44894934836,376162.7672852033,463615.83990369376,245815.33673105357,328648.2842873233,325463.82794300606,362062.8792854476,351895.0204509518,334519.69794601767,368646.2203529426,392946.27584830555,256836.39968103502,281656.95353756705,373804.6233845731,342592.90442083945,385865.2808860513,290439.8621215323,390810.5799793886,314522.4178473971,267085.65267873206,273782.2561394557,553208.4693762797,244824.58008012813,328263.5355438206,393707.6734453575,395958.52599935734,144424.9397528365,367529.0871626198,294405.21078511205
364660.4015740521,285635.32822651695,544808.5819666791,197699.60283841926,254419.6908509989,471646.3008151642,218694.7313893376,352169.56162152847,227290.79074478985,254449.23243916986,274233.78449611185,240363.7352942998,376301.0229519626,230239.8060082083,369271.14124303847,244342.53510427361,347690.2106847548,295787.54007574933,294727.19990078197,374626.9588174737,255767.95139362485,284472.02899864316,306562.2074142615,372633.8744105169,307653.9854549508,235979.96892176583,258320.28333544597,315879.86281123024,353985.860707444,335625.6302479478,317928.5608829117,346190.2811598144,367366.0234016462,251254.34087981546,277926.7627848101,322501.0394996081,336545.37561447086,375245.7883451794,278549.30286022054,368952.6833854875,305766.0780901323,262575.9889156204,273426.61186931335,551099.3629382226,240384.3942914846,320344.0250852768,388389.224584931,388081.6681029145,144281.01721801364,351344.65320675913,229523.30248989855
358215.2032129355,263066.2053800092,488742.57110888424,186196.37710375505,210318.1422356003,466088.1978229813,212003.54022407037,347922.5085585607,214395.9240497099,242185.623723849,250534.9884970215,225019.39999257075,363706.87841713673,218158.43133641055,360577.3154791385,231592.1285671222,321863.83311815583,274059.12456640124,276182.9631525698,333567.6648868256,244115.6065658648,256730.02087579676,294153.9293657597,329044.2183159429,291125.0490869413,225490.6518036854,218476.98302880078,311069.3434569022,344614.93390565703,290354.8754954347,314549.8779287855,287051.9798375662,327350.89469320286,246734.1690653038,276872.8731711445,313725.29384616856,327846.00819881796,361741.44884121534,218742.82713175015,364741.4613444121,203772.6891044701,239753.43723813814,272480.3197660143,526301.4929694221,222189.20082708346,316015.24058016593,299176.7120987224,359092.5112925352,142327.89292095654,329117.1562533599,219233.11413437908
347116.8768210849,257798.13060435068,473250.03541329404,177525.6924021351,207337.24901250785,454740.3795738302,205496.7458301931,345235.1640885098,185529.6472728914,240520.51487870273,245859.40505454593,187743.73521431588,347769.6347409412,204737.59153881026,358447.206987282,225322.57329345465,313220.5558702765,269077.85671298456,269041.9340698774,306979.81213517534,232602.8072902908,255300.06943558902,285021.14520471287,298846.3959651862,275274.3254263189,206582.77667598793,202288.266931302,307330.2128129897,336750.8997172949,277721.48604684573,284336.35415840795,263625.63620051387,304174.96062293247,245512.9352587892,269527.66205846553,298516.7968991886,325789.2283015894,240569.5587813977,200467.396644784,323062.5387045924,203315.63264031432,202180.24980551295,271650.93247013254,475197.4837976179,204457.46539398332,259703.8009792026,288095.38175119116,331525.3006338628,140863.94421764332,317811.80349045596,218393.95470470775
339837.14270152344,247243.84738515547,428992.4704575848,177295.003469127,203753.7682056786,403204.11519262014,202468.74767516772,330042.7008272253,183237.19269358533,237936.6489732335,213665.11948000576,184033.22469347896,330573.62667568936,201766.65574309387,357795.1717443585,221528.64856475737,291007.1282768765,268087.12224935676,265495.33209140133,298367.47349107906,230593.72715266986,250365.4159179386,280900.069946188,296636.22855879297,271433.00626431324,196678.31849482778,192619.77765763018,287697.4356781865,328585.52855510195,264757.3195499644,252421.66572401396,204280.36560152692,291558.6505592239,244855.04095756426,241463.8610548855,278395.062623393,325078.49927953753,203654.39694062466,187743.84093450062,305954.4307726246,187859.48659013497,194768.53243422922,271634.4600721253,425313.8198732608,200073.4046561208,248372.93279861563,275276.0853765921,328038.8568565321,138461.01943514525,302457.77515147143,205199.93021470608
313160.6466879803,239236.26503272002,425485.87233715324,173319.06589455798,201638.40198760811,354997.006267808,197246.60608629003,319908.90541620523,182607.75137609596,237049.5834257556,202863.62556143917,173883.1994569309,290784.6762648011,201358.08009011074,319209.4119050789,220919.96588930988,253522.71973547846,265159.32481964777,260117.88355554754,295804.0707665361,228678.80454214546,249422.57838755453,264246.0413673547,275531.61735387845,238954.7086794477,174664.30589482098,187420.50961885098,267462.0064057743,325226.33731097926,254502.23000479327,234851.3907929612,199959.88928952644,288682.7142608746,244037.8624997472,179798.6934993146,251442.60655854314,302736.04225180775,178290.97131172978,182134.64232800726,297515.2619530321,185340.6894113997,184096.02417290572,266063.5554409289,408313.29021350364,197258.56723153623,248255.53343705478,251255.00891543267,292996.37718817685,122577.31640152355,260306.57484001998,199936.2293479545
302934.41287050094,237700.66322799455,404969.54372367257,173117.66964445583,200158.2112140689,242397.23668494046,193977.70029050013,317166.6337876184,182499.58585491552,235956.0576365934,185308.73346739294,171162.45331666712,287718.1786834986,200532.21888255875,317762.9957333537,219698.1791544746,249856.15863358355,262528.64983663755,250161.48682894112,224359.7059733508,216802.18022038983,232794.9088340557,258556.41648047825,274733.39946463285,231086.5766207269,163819.38109728388,183467.5743457154,246731.4454240822,318081.85163484653,250546.65185207047,217047.1497473695,189665.35445534522,255462.0954198555,234873.11184319865,167531.8118450446,242274.5119080395,296968.6772416641,168235.79471419856,180794.2964071552,294493.69392013585,184829.43157856626,181363.19723040788,265069.0289483331,398958.00937758037,196607.55171593302,241873.84373314766,249876.20690211715,276064.89193252916,112622.72222447078,202693.46539853982,196812.14402902202
293343.2183556054,237043.6170266382,393441.2245019691,161269.30062788198,199243.8139627936,225346.6874957846,192186.808362772,294594.988210828,180928.8829739394,234556.0207645352,174989.60206327934,163008.45556416552,243396.94277851944,195947.1207151797,285425.8501391709,218738.29768522663,246276.06254042243,258738.84852486197,245735.44019802182,205829.5795860691,212575.2601480876,224305.45410980537,236023.0749088452,274519.89730814804,215559.00211821403,162420.51244107194,180106.55932411642,214007.29254418536,270904.51099432405,243084.4610613506,214225.76799214454,183087.7984364615,251705.81108436748,228639.75415884505,167037.56768896294,238971.99623591403,291153.5693823837,159591.7608685699,177523.28362068892,291696.09226072795,184699.60297585587,172829.58888675773,264601.2406945756,351670.25156471005,194002.4173942708,231093.24244055248,236903.92810193752,271024.45235037355,111680.79420089972,198410.40757818418,193653.96372437134
286086.88217802503,219930.88146355242,356995.86364750646,152666.28159781598,197408.77243593542,217499.3810761771,191293.48954753252,293847.57176825055,169189.93906163814,234106.1344676709,162607.57466070502,161399.46972759682,233497.82833056018,192662.77878502855,280369.58383554657,217783.7520040132,240556.23880541834,254694.2134523383,242406.59383194195,199941.28112915257,198836.34452792504,203274.0674371866,231087.4610829222,264989.90487715986,204547.5008016641,151180.16575643735,173907.2210433593,199725.74367540926,267504.42151153064,242056.86637993605,211711.26538247342,153976.46431826946,239594.880973653,227022.68691464775,161931.15062979795,236622.42228672898,226510.5232571617,158537.28285087706,175632.58513419787,280567.1316060813,176984.2786910297,168629.8012401971,264530.9242573449,346598.5186869908,181925.08086210574,228968.08872021252,236739.41030012726,242906.19366861196,111044.44237019414,196584.79238069837,191949.39025605342
269783.31046429795,218333.31419675113,344338.7405844538,152149.66495031287,192895.470879845,194928.2383678202,176825.3795816533,263457.828371978,161324.18368164444,230171.5944377492,160880.05637805595,158914.49009428394,218090.63676609943,190263.4740971349,274856.6240802004,143102.2978504122,232451.10830153615,224379.05431190072,217336.1660179956,198275.26961088512,195737.82749159881,195757.08994532793,228574.01355176396,261594.88020226057,204340.36074051232,144713.32594692503,171969.32806173063,195886.87651366918,266144.99590687116,231036.84070291038,211182.36046054453,152071.08425667885,238240.69070174202,225748.38068394328,161370.33256073692,234458.16478359082,214519.03489300318,157832.50089025486,174833.97189431888,276889.41266713565,169696.2082094363,167692.23896356532,263583.20211142104,340099.9015790386,179959.25500402428,228869.9113379524,182172.4771048913,242370.23294621657,109667.3351281081,191289.09446276142,167596.52652519912
265305.73553941114,217531.97209259451,340708.83327833534,149328.94114943824,186444.49753747994,177252.2818067003,168321.22273248652,215091.68766136238,133483.22718946624,218168.54345638896,160159.81250890277,158663.91710552556,201932.23436051235,189037.0620833086,268230.311461564,142934.24332497382,225082.3515135416,220451.3933042641,215270.0965277403,196846.11099945,189188.19627024824,187192.10830358198,226976.42111446912,260490.52652479574,204014.8923905901,142277.63034876296,150637.63387571144,190385.89342811253,266004.59794480295,228035.11780159923,207471.76699615698,150435.46762593673,234965.49755844078,222517.74350502924,161370.33256073692,219851.02762674438,206242.6633586627,157043.0830581215,174427.08913132086,264236.47768787533,155623.70145093018,164558.3745838535,259555.7286300253,331830.3484022748,176804.20424084153,224365.92915877802,155703.81474036968,242149.40250862576,108865.47495936173,181051.2286410539,166543.5383970842
258884.64660590267,215316.85870627905,328551.39236086153,147865.76976791144,185696.42602782144,176925.63931664854,140198.22544528064,180360.1750004093,132635.032465184,205758.88953890686,159128.65040626275,156772.03248329522,168674.82759292718,188682.33381243685,203299.22302886785,141500.82939072666,223171.18559727573,203169.96205082443,208142.20300839466,194602.40433077308,176687.0877328481,185241.3970249783,221673.3774211799,259975.53442899694,203302.84351439343,136110.73009146645,133863.36439301103,189168.12099693136,265961.33617544826,221341.8634224808,207182.78598423017,150064.1044973504,234058.0796451404,221341.31687622945,161232.26026322253,206080.08457772405,204111.89790899897,155674.87905109374,173884.8274001713,260681.57251002488,154601.2833196074,162947.42965384058,256054.3924412058,326798.60174146446,174224.9679943896,216663.64824176603,153099.85653981767,223465.26816546224,106616.36165839792,179738.44686981544,164205.94898867852
255330.39203753223,211537.90016688878,305559.0552548903,145642.4936619781,182504.11223910988,162014.76257864604,129524.32823495063,172057.5656385956,131300.69093144906,197731.01423797736,158674.4070833462,156274.2538879112,166765.59457110416,185834.70388101012,201438.9123054899,138993.0879817465,213494.20674519206,199826.1595931123,201694.60926534844,193530.4392696627,172949.09187217953,184773.455145194,220974.06226341132,258639.8621419116,201925.25306497136,133260.35262982687,130208.78854439492,188703.71140159218,265946.952250986,214215.28914385076,206952.42037954935,146029.52220545147,233877.1381777655,218822.52906346202,161232.26026322253,194392.2525738505,202644.8861890192,150960.58360119077,170491.51775460615,257852.19530935885,152542.36658175828,162947.42965384058,255555.2626763191,325270.7293552687,173672.05518808585,216483.4445337201,149978.99269243542,220921.05399184983,105714.062795069,177885.3028021375,161555.88449406403
254146.36371146867,187810.93873387008,289399.4296309305,145412.72498491913,177345.6950958807,161412.15983066813,127213.99308091252,166294.47476760214,128138.53573531279,195766.34199125328,158343.014447022,152709.57143512208,164794.81934568167,185538.5601859423,196599.23130124013,138420.73499001772,210255.53247226312,194917.2272638582,155961.18855366236,187834.11187511147,171929.22664550753,183187.37257138462,219488.8885607528,258432.5027686209,201096.4030203122,129879.8488400643,121187.23001123563,180652.10912619616,265944.15511974157,211541.85944978028,201558.0737012905,145648.9083806466,228328.43439247666,211202.83157064248,159788.68231313882,188318.28857922388,195380.789530948,138925.42357062857,169574.09500091182,180826.70551698102,150895.84092400095,162825.80838175328,251981.81293675466,321408.0354346595,170283.64236963316,213465.94810403232,149847.50492433304,218264.05414359423,105367.29147190055,176163.83187722083,154838.28414628186
253551.63622267902,182362.38226465826,286733.1586415763,145115.86612605836,172905.6949210676,160802.47846594153,126274.46648103061,161554.08825370713,127911.05615518914,194041.56130039052,157068.0832106016,152011.89495544357,164140.97768998513,185396.35034965246,195431.88734529793,138334.5774323437,206951.84009432246,185023.00005734776,145102.8247490882,186633.43878526913,161994.53572864152,183177.708001462,214577.5166305669,255831.48103521578,190394.09360592678,129547.66498865774,120309.3345737087,179659.24388748023,236221.13002643854,211055.35641187738,199635.3587261639,132911.18799077166,218209.5909997162,209221.44229207918,159463.73192880276,186349.8322507964,192841.96756321803,131443.5138333861,162702.035381806,141394.17137162347,146687.1095997872,160235.8662234942,250661.36472308575,321180.22993831965,169927.62738461964,213362.77553187686,149792.00181463806,213193.56076693643,105274.97437850924,172821.27334877715,154546.86726347107
247270.9597230789,175975.09366252512,268652.8684536898,143171.4622621656,171741.32660568503,160687.0249504718,125793.61095133456,158670.38715794616,126869.55769598097,193165.57081560677,156989.0941998073,151770.25388006825,164014.8312069514,183741.88685009727,194564.265227592,136528.0542754407,205317.0751120133,173781.00487953218,134588.91364232168,185891.74008495655,159843.99831557437,180898.11579953373,214341.89404958748,251930.21460353635,181667.8835082192,128970.62097457409,118725.74329398821,177860.72778768107,235007.21378557823,210645.99316504906,199285.76588732676,131501.02890771354,215440.054243099,202665.66817212786,158350.48683304412,185423.36846053586,188603.5678310927,128272.90992133069,159963.7076528435,136121.34172895786,146536.83940872678,157358.5639713463,249309.2033002763,318987.2479461552,160554.13644659918,212140.21197502266,149784.73932747816,212720.54551050827,105248.36114266276,172473.5332473746,150303.41819414988
243031.6816614941,162360.7436612274,246029.74464145603,141478.28345895043,166866.67646478993,160644.28914901084,122269.5159734056,133345.877864753,126869.55769598097,191851.9240933823,154989.8508364576,150046.09668670176,162831.12757668764,183647.27725450677,193952.39962670163,136157.00634316663,193374.11450730672,171209.38760749841,132467.60891841218,185777.06098004262,158393.1907766546,180898.11579953373,212116.5503152823,250783.24016469705,179733.83343673826,127787.47887313235,118087.93966722835,177492.21850691852,234009.29601522372,210585.00406612412,196953.22688273207,130727.61444133696,213203.3136711877,201896.3106511003,157820.44701279857,182945.75711815828,178034.85580413882,126452.08262622358,158797.009482657,133810.56758487018,144362.4497445788,156121.31425521648,243816.3412924846,313906.12698974484,158451.9174910956,209429.38923126413,147696.38754878665,197663.10830930003,103922.88725201799,169470.06198384525,148715.8031018697
217748.6704171984,160875.30641779755,241733.7585757856,139841.6225111079,165673.40122600686,155982.66409238687,120759.91613959167,131371.92516840238,125899.98970253121,190065.59224411397,154851.83945378845,148663.22077947302,151724.932787101,182415.26038094336,193677.7524875175,135999.37865639108,191094.6754174007,169364.8865765091,129234.99848038013,183770.16729768325,154956.38473401256,180161.09765886812,201339.41363376254,250423.95835688885,178414.04862425855,127494.73767793344,114231.56383352957,177130.84121890942,233898.67712634022,208798.7301679087,196209.14758588313,130284.577353229,212237.04696972843,192033.60210393678,155876.9544866067,182055.0954514422,170785.51990336203,125428.8066894204,138629.4437013177,133364.9105651042,144362.4497445788,152312.58884236994,215651.29881371127,312585.5963917553,156100.3075448583,209290.66507227175,147629.17748587983,194329.47242779142,103550.83324624786,163557.8790331331,148141.07657376054
